Year,Storm,Province,concurrent_storms_combined_intensity,concurrent_storms_count,days_since_last_storm,has_concurrent_storm,nearest_concurrent_storm_distance,storms_past_30_days
2010,Agaton,Zamboanga del Norte,0.0,0,365.0,0,-999.0,0
2010,Agaton,Zamboanga del Sur,0.0,0,365.0,0,-999.0,0
2010,Agaton,Zamboanga Sibugay,0.0,0,365.0,0,-999.0,0
2010,Basyang,Abra,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Agusan del Norte,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Agusan del Sur,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Aklan,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Albay,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Antique,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Apayao,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Aurora,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Basilan,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Bataan,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Batanes,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Batangas,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Benguet,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Biliran,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Bohol,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Bukidnon,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Bulacan,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Cagayan,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Camarines Norte,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Camarines Sur,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Camiguin,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Capiz,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Catanduanes,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Cavite,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Cebu,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Cotabato,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Davao de Oro,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Davao del Norte,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Davao del Sur,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Davao Occidental,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Davao Oriental,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Dinagat Islands,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Eastern Samar,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Guimaras,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Ifugao,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Ilocos Norte,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Ilocos Sur,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Iloilo,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Isabela,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Kalinga,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,La Union,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Laguna,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Lanao del Norte,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Lanao del Sur,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Leyte,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Maguindanao del Norte,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Maguindanao del Sur,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Marinduque,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Masbate,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Metro Manila,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Misamis Occidental,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Misamis Oriental,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Mountain Province,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Negros Occidental,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Negros Oriental,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Northern Samar,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Nueva Ecija,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Nueva Vizcaya,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Occidental Mindoro,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Oriental Mindoro,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Palawan,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Pampanga,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Pangasinan,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Quezon,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Quirino,71.87856603773585,1,105.0,1,1698.9931099859941,0
