date,province,latitude,longitude,wind_speed_10m_max,wind_gusts_10m_max,precipitation_hours,precipitation_sum
2012-05-31 00:00:00+00:00,Abra,17.60984,120.725334,16.394829,31.68,4.0,3.7999997
2012-05-31 00:00:00+00:00,Agusan del Norte,8.963093,125.548836,8.161764,25.919998,3.0,1.1
2012-05-31 00:00:00+00:00,Agusan del Sur,8.611599,125.938034,7.145796,29.16,4.0,3.0
2012-05-31 00:00:00+00:00,Aklan,11.704745,122.361359,17.673029,27.0,24.0,17.8
2012-05-31 00:00:00+00:00,Albay,13.110721,123.770493,9.83268,24.119999,22.0,34.599995
2012-05-31 00:00:00+00:00,Antique,10.720562,121.961136,10.805998,21.599998,24.0,31.699999
2012-05-31 00:00:00+00:00,Apayao,17.820738,121.425804,7.42159,25.919998,5.0,4.4
2012-05-31 00:00:00+00:00,Aurora,15.782074,121.5,10.182337,32.760002,16.0,12.3
2012-05-31 00:00:00+00:00,Basilan,6.713532,122.018501,14.021525,29.519999,16.0,9.1
2012-05-31 00:00:00+00:00,Bataan,14.657293,120.529739,8.311245,22.319998,11.0,12.400001
2012-05-31 00:00:00+00:00,Batanes,20.421791,121.961777,25.376808,32.399998,9.0,4.7
2012-05-31 00:00:00+00:00,Batangas,13.743409,121.074379,16.595179,29.519999,18.0,20.800001
2012-05-31 00:00:00+00:00,Benguet,16.48506,120.685715,4.802999,28.8,13.0,27.900003
2012-05-31 00:00:00+00:00,Biliran,11.564148,124.473213,19.373219,37.079998,24.0,20.2
2012-05-31 00:00:00+00:00,Bohol,9.66608,123.897125,15.30741,33.839996,7.0,1.7
2012-05-31 00:00:00+00:00,Bukidnon,8.119508,125.183914,8.759178,37.8,5.0,4.4
2012-05-31 00:00:00+00:00,Bulacan,14.86819,120.782852,8.287822,19.8,12.0,10.099999
2012-05-31 00:00:00+00:00,Cagayan,17.60984,121.682785,9.9571085,27.359999,5.0,3.3000002
2012-05-31 00:00:00+00:00,Camarines Norte,14.094903,122.96125,11.212135,26.28,17.0,11.300001
2012-05-31 00:00:00+00:00,Camarines Sur,13.602812,123.244728,10.239453,20.519999,19.0,20.2
2012-05-31 00:00:00+00:00,Camiguin,9.244288,124.735474,29.5551,38.88,8.0,3.3
2012-05-31 00:00:00+00:00,Capiz,11.564148,122.785713,10.195057,20.16,20.0,22.1
2012-05-31 00:00:00+00:00,Catanduanes,13.602812,124.317139,14.113653,22.68,18.0,12.099998
2012-05-31 00:00:00+00:00,Cavite,14.305799,120.888069,12.496719,27.72,14.0,18.199999
2012-05-31 00:00:00+00:00,Cebu,10.29877,123.769775,12.24,27.72,9.0,9.8
2012-05-31 00:00:00+00:00,Cotabato,6.994728,125.0886,6.9247384,31.319998,4.0,1.3000001
2012-05-31 00:00:00+00:00,Davao Occidental,6.432337,125.532265,9.3669195,31.319998,4.0,8.5
2012-05-31 00:00:00+00:00,Davao Oriental,6.924429,126.273178,11.183201,21.96,1.0,0.2
2012-05-31 00:00:00+00:00,Davao de Oro,7.627417,125.969391,16.299694,33.839996,3.0,1.2
2012-05-31 00:00:00+00:00,Davao del Norte,7.41652,125.801529,9.83268,42.48,2.0,1.1
2012-05-31 00:00:00+00:00,Davao del Sur,6.783832,125.378792,5.815978,30.960001,4.0,2.1999998
2012-05-31 00:00:00+00:00,Dinagat Islands,10.087873,125.574059,20.883102,48.96,7.0,2.0
2012-05-31 00:00:00+00:00,Eastern Samar,11.634446,125.388748,12.599998,26.64,15.0,13.499999
2012-05-31 00:00:00+00:00,Guimaras,10.579965,122.619049,15.021105,27.359999,24.0,17.099998
2012-05-31 00:00:00+00:00,Ifugao,16.836554,121.17704,8.0899935,29.16,10.0,3.3
2012-05-31 00:00:00+00:00,Ilocos Norte,18.172232,120.614037,17.654688,34.2,1.0,0.3
2012-05-31 00:00:00+00:00,Ilocos Sur,17.539541,120.434784,16.394829,31.68,4.0,3.7999997
2012-05-31 00:00:00+00:00,Iloilo,11.001758,122.632973,15.778516,29.88,21.0,11.099999
2012-05-31 00:00:00+00:00,Isabela,17.11775,121.902016,9.178235,24.48,12.0,11.7
2012-05-31 00:00:00+00:00,Kalinga,17.469244,121.447876,7.42159,25.919998,5.0,4.4
2012-05-31 00:00:00+00:00,La Union,16.625658,120.314888,11.183201,24.84,13.0,10.599999
2012-05-31 00:00:00+00:00,Laguna,14.305799,121.470863,15.509274,26.64,18.0,9.400001
2012-05-31 00:00:00+00:00,Lanao del Norte,8.260105,124.318771,12.397806,34.2,1.0,0.2
2012-05-31 00:00:00+00:00,Lanao del Sur,7.97891,124.355255,12.144331,37.44,6.0,2.4
2012-05-31 00:00:00+00:00,Leyte,11.212654,124.959999,9.0645685,23.039999,15.0,7.9
2012-05-31 00:00:00+00:00,Maguindanao del Norte,6.994728,124.40506,11.928989,34.56,10.0,5.499999
2012-05-31 00:00:00+00:00,Maguindanao del Sur,6.713532,124.819176,7.42159,28.8,4.0,2.9
2012-05-31 00:00:00+00:00,Marinduque,13.462214,121.866425,15.580141,23.759998,18.0,9.600001
2012-05-31 00:00:00+00:00,Masbate,12.196836,123.618362,17.651016,30.239998,24.0,33.600002
2012-05-31 00:00:00+00:00,Metro Manila,14.586995,121.002785,8.287822,19.8,12.0,10.099999
2012-05-31 00:00:00+00:00,Misamis Occidental,8.471002,123.788658,16.42247,27.72,8.0,8.3
2012-05-31 00:00:00+00:00,Misamis Oriental,8.471002,124.639168,10.703569,26.64,10.0,2.0
2012-05-31 00:00:00+00:00,Mountain Province,17.11775,120.864555,9.531505,29.88,11.0,4.0
