Year,Storm,Province,Affected
2023,Egay,Abra,271469.0
2023,Egay,Aklan,10458.0
2023,Egay,Albay,0.0
2023,Egay,Antique,17306.0
2023,Egay,Apayao,61455.0
2023,Egay,Aurora,45317.0
2023,Egay,Basilan,0.0
2023,Egay,Bataan,72699.0
2023,Egay,Batanes,3081.0
2023,Egay,Batangas,17.0
2023,Egay,Benguet,46982.0
2023,Egay,Bulacan,564375.0
2023,Egay,Cagayan,144346.0
2023,Egay,Camarines Norte,483.0
2023,Egay,Camarines Sur,487.0
2023,Egay,Catanduanes,1196.0
2023,Egay,Cavite,102.0
2023,Egay,Cotabato,20510.0
2023,Egay,Davao Occidental,3395.0
2023,Egay,Davao Oriental,1359.0
2023,Egay,Davao del Norte,7356.0
2023,Egay,Davao del Sur,20.0
2023,Egay,Guimaras,17062.0
2023,Egay,Ifugao,2180.0
2023,Egay,Ilocos Norte,234501.0
2023,Egay,Ilocos Sur,289270.0
2023,Egay,Iloilo,55507.0
2023,Egay,Isabela,64.0
2023,Egay,Kalinga,4700.0
2023,Egay,La Union,74822.0
2023,Egay,Masbate,968.0
2023,Egay,Misamis Oriental,431.0
2023,Egay,Negros Occidental,65490.0
2023,Egay,Nueva Ecija,57666.0
2023,Egay,Nueva Vizcaya,720.0
2023,Egay,Occidental Mindoro,70007.0
2023,Egay,Oriental Mindoro,1152.0
2023,Egay,Palawan,24478.0
2023,Egay,Pampanga,382723.0
2023,Egay,Pangasinan,203410.0
2023,Egay,Quezon,22.0
2023,Egay,Quirino,12.0
2023,Egay,Rizal,844.0
2023,Egay,Sorsogon,6142.0
2023,Egay,Sultan Kudarat,0.0
2023,Egay,Tarlac,22053.0
2023,Egay,Zambales,3533.0
