Year,Storm,Province,direction_variability,is_fast_moving,is_recurving,is_slow_moving,max_forward_speed,mean_direction,mean_forward_speed,min_forward_speed,speed_at_closest_approach,track_sinuosity
2010,Agaton,Abra,36.894196668916614,0,0,1,14.0,313.445970691488,9.80327868852459,4.0,5.0,1.161688267930228
2010,Agaton,Agusan del Norte,36.894196668916614,0,0,1,14.0,313.445970691488,9.80327868852459,4.0,9.0,1.161688267930228
2010,Agaton,Agusan del Sur,36.894196668916614,0,0,1,14.0,313.445970691488,9.80327868852459,4.0,11.0,1.161688267930228
2010,Agaton,Aklan,36.894196668916614,0,0,1,14.0,313.445970691488,9.80327868852459,4.0,7.0,1.161688267930228
2010,Agaton,Albay,36.894196668916614,0,0,1,14.0,313.445970691488,9.80327868852459,4.0,7.0,1.161688267930228
2010,Agaton,Antique,36.894196668916614,0,0,1,14.0,313.445970691488,9.80327868852459,4.0,7.0,1.161688267930228
2010,Agaton,Apayao,36.894196668916614,0,0,1,14.0,313.445970691488,9.80327868852459,4.0,5.0,1.161688267930228
2010,Agaton,Aurora,36.894196668916614,0,0,1,14.0,313.445970691488,9.80327868852459,4.0,5.0,1.161688267930228
2010,Agaton,Basilan,36.894196668916614,0,0,1,14.0,313.445970691488,9.80327868852459,4.0,8.0,1.161688267930228
2010,Agaton,Bataan,36.894196668916614,0,0,1,14.0,313.445970691488,9.80327868852459,4.0,7.0,1.161688267930228
2010,Agaton,Batanes,36.894196668916614,0,0,1,14.0,313.445970691488,9.80327868852459,4.0,5.0,1.161688267930228
2010,Agaton,Batangas,36.894196668916614,0,0,1,14.0,313.445970691488,9.80327868852459,4.0,7.0,1.161688267930228
2010,Agaton,Benguet,36.894196668916614,0,0,1,14.0,313.445970691488,9.80327868852459,4.0,5.0,1.161688267930228
2010,Agaton,Biliran,36.894196668916614,0,0,1,14.0,313.445970691488,9.80327868852459,4.0,7.0,1.161688267930228
2010,Agaton,Bohol,36.894196668916614,0,0,1,14.0,313.445970691488,9.80327868852459,4.0,8.0,1.161688267930228
2010,Agaton,Bukidnon,36.894196668916614,0,0,1,14.0,313.445970691488,9.80327868852459,4.0,11.0,1.161688267930228
2010,Agaton,Bulacan,36.894196668916614,0,0,1,14.0,313.445970691488,9.80327868852459,4.0,7.0,1.161688267930228
2010,Agaton,Cagayan,36.894196668916614,0,0,1,14.0,313.445970691488,9.80327868852459,4.0,5.0,1.161688267930228
2010,Agaton,Camarines Norte,36.894196668916614,0,0,1,14.0,313.445970691488,9.80327868852459,4.0,7.0,1.161688267930228
2010,Agaton,Camarines Sur,36.894196668916614,0,0,1,14.0,313.445970691488,9.80327868852459,4.0,7.0,1.161688267930228
2010,Agaton,Camiguin,36.894196668916614,0,0,1,14.0,313.445970691488,9.80327868852459,4.0,8.0,1.161688267930228
