Year,Storm,Province,compound_hazard_days,compound_hazard_score,consecutive_rain_days,days_with_damaging_wind,days_with_heavy_rain,days_with_rain,days_with_strong_wind,days_with_very_heavy_rain,max_daily_precip_mm,max_hourly_precip_mm,max_wind_gust_kmh,max_wind_speed_kmh,mean_daily_precipitation_mm,precip_variability,precipitation_concentration_index,rain_during_closest_approach,total_precipitation_hours,total_precipitation_mm,wind_gust_persistence_score,wind_rain_product
2010,Agaton,Cebu,0,0.2919499855,0,0,0,5,0,0,8.4,0.35000000000000003,50.039997,22.180206,2.0875000249999998,2.78128310022037,0.5920658641668761,0.1,45.0,16.700000199999998,0.125,835.6679599079993
2010,Agaton,Cotabato,0,0.36094999674999995,2,0,0,7,0,0,29.199999,1.216666625,28.44,7.2805495,10.937499837499999,9.985122616440783,0.4664285687869387,0.0,81.0,87.49999869999999,0.0,2488.499963028
2010,Agaton,Davao de Oro,0,0.22769998599999997,1,0,0,5,0,0,13.6,0.5666666666666667,32.039997,18.782204,3.3750000499999997,4.877279665375539,0.6361111053909467,0.2,53.0,27.000000399999998,0.0,865.0799318159987
2010,Agaton,Davao del Norte,0,0.25799999125,0,0,0,5,0,0,8.0,0.3333333333333333,41.399998,16.055353,2.5500000624999997,3.2824207924291864,0.5845588220696367,0.3,42.0,20.400000499999997,0.0,844.5599798999988
2010,Agaton,Davao del Sur,0,0.330699993625,2,0,0,6,0,0,27.600002,1.1500000833333333,30.239998,7.0911775,8.97500018125,8.756671460928722,0.4738858002314148,0.0,66.0,71.80000145,0.0,2171.231900247997
2010,Agaton,Davao Occidental,0,0.27754999649999995,2,0,0,4,0,0,14.799999,0.616666625,38.16,14.973576,4.337499825,6.152104506647657,0.6595821296373192,0.0,51.0,34.6999986,0.0,1324.151946576
2010,Agaton,Davao Oriental,0,0.31540000375,3,0,0,7,0,0,16.600002,0.69166675,31.68,13.684735,7.850000187499999,5.665686655523078,0.3781847371850777,0.6,90.0,62.80000149999999,0.0,1989.5040475199999
2010,Agaton,Dinagat Islands,0,0.31205000125,0,0,0,3,0,0,9.7,0.4041666666666666,50.76,23.740902,2.9125000625,3.6057246307087887,0.5863733860220304,0.5,56.0,23.3000005,0.125,1182.70802538
2010,Agaton,Eastern Samar,0,0.32580002025000004,1,0,0,7,0,0,29.200003,1.2166667916666667,41.760002,22.206486,5.850000512500001,9.551814603444335,0.6095085569127119,4.1000004,72.0,46.80000410000001,0.0,1954.3682648160086
2010,Agaton,Guimaras,0,0.28059998525,0,0,0,1,0,0,1.5000001,0.06250000416666666,54.719997,30.699368,0.3500000125,0.5237229679352037,0.6785714355867345,0.0,13.0,2.8000001,0.25,153.2159970719997
2010,Agaton,Ifugao,0,0.21855000025,0,0,0,2,0,0,8.1,0.33749999999999997,38.16,11.246759,1.3875000125,2.854789215198608,0.793918917397127,0.0,36.0,11.1000001,0.0,423.57600381599997
2010,Agaton,Ilocos Norte,0,0.388499975,0,0,0,2,2,0,4.6000004,0.19166668333333334,73.799995,38.16,0.975,1.7750252054548536,0.7628205256410256,0.3,28.0,7.8,0.25,575.639961
2010,Agaton,Ilocos Sur,0,0.27075,0,0,0,0,0,0,0.2,0.008333333333333333,54.0,29.301878,0.037500000000000006,0.0744023809142845,0.7916666666666665,0.1,3.0,0.30000000000000004,0.125,16.200000000000003
2010,Agaton,Iloilo,0,0.2606000001,0,0,0,1,0,0,1.2,0.049999999999999996,49.32,26.474075,0.700000005,0.36645015564388667,0.27232142930484704,0.2,33.0,5.60000004,0.0,276.1920019728
2010,Agaton,Isabela,0,0.19759998574999998,0,0,0,3,0,0,2.9000003,0.12083334583333333,36.719997,17.418196,0.7000000375,1.0056981455685454,0.6562500117187495,1.1,28.0,5.6000003,0.0,205.63199421599907
2010,Agaton,Kalinga,0,0.23894999749999998,1,0,0,2,0,0,16.699999,0.6958332916666666,37.44,18.331741,2.587499875,5.871586811258348,0.8266908189222617,0.0,32.0,20.699999,0.0,775.0079625599999
2010,Agaton,La Union,0,0.20125000010000002,0,0,0,0,0,0,0.90000004,0.037500001666666664,39.6,25.6233,0.162500005,0.3159453069757489,0.7788461568047336,0.0,5.0,1.30000004,0.0,51.480001584
2010,Agaton,Laguna,0,0.343550003125,0,0,0,4,1,0,6.000001,0.2500000416666667,61.56,40.258884,1.78750015625,2.0869923116173954,0.5708042119052257,0.70000005,64.0,14.30000125,0.125,880.30807695
2010,Agaton,Lanao del Norte,0,0.22165,0,0,0,4,0,0,9.6,0.39999999999999997,33.48,14.4,2.7125000000000004,3.486888707306681,0.6203917050691246,0.0,57.0,21.700000000000003,0.0,726.5160000000001
2010,Agaton,Lanao del Sur,0,0.30744997775,2,0,0,5,0,0,31.0,1.2916666666666667,33.839996,12.682018,6.9124998875,10.325894916336038,0.6281645556572897,1.0,54.0,55.2999991,0.0,1871.3517483440037
2010,Agaton,Leyte,0,0.29865000775,1,0,0,7,0,0,25.600004,1.0666668333333333,38.88,21.096123,5.2125003874999996,8.315294995218277,0.5800360039421673,2.3,88.0,41.700003099999996,0.0,1621.296120528
2010,Agaton,Maguindanao del Norte,0,0.26304999975,1,0,0,7,0,0,13.7,0.5708333333333333,36.36,13.698934,4.0624999875,4.166168989654303,0.45192307023668654,0.8,53.0,32.4999999,0.0,1181.6999963639998
2010,Agaton,Maguindanao del Sur,0,0.29640000749999995,2,0,0,5,0,0,21.400002,0.8916667500000001,31.68,12.074766,6.900000375,7.330952656861412,0.532608709731411,0.0,51.0,55.200003,0.0,1748.73609504
2010,Agaton,Marinduque,0,0.287699980975,0,0,0,2,0,0,3.0,0.125,53.639996,39.122574,0.97500004875,1.131055185056356,0.5673076907051284,0.1,43.0,7.80000039,0.125,418.3919897195984
2010,Agaton,Masbate,0,0.24065000022500002,0,0,0,2,0,0,4.1,0.1708333333333333,44.28,25.488914,0.96250001125,1.3201055135724136,0.5730519441136785,1.1,24.0,7.70000009,0.0,340.95600398519997
2010,Agaton,Metro Manila,0,0.26405,0,0,0,0,0,0,0.5,0.020833333333333332,52.56,27.345785,0.0625,0.1767766952966369,0.875,0.0,2.0,0.5,0.125,26.28
2010,Agaton,Misamis Occidental,0,0.25099998975,0,0,0,4,0,0,6.3,0.2625,41.399998,22.33161,2.1999999875,2.3237899628470267,0.5411931742397338,0.1,62.0,17.5999999,0.0,728.6399606600002
2010,Agaton,Misamis Oriental,0,0.25705000024999997,1,0,0,5,0,0,10.3,0.4291666666666667,38.16,16.327497,3.3125000125,3.931352878326826,0.586320749202563,0.0,39.0,26.5000001,0.0,1011.2400038159999
2010,Agaton,Mountain Province,0,0.20450000024999998,0,0,0,2,0,0,4.5,0.1875,37.8,12.819235,0.7750000125,1.58091294261982,0.7943548359781474,0.0,28.0,6.2000001,0.0,234.36000377999997
2010,Agaton,Negros Occidental,0,0.2502500005,0,0,0,1,0,0,1.4000002,0.05833334166666667,48.6,28.257132,0.362500025,0.49262422871220074,0.6422413953626622,0.2,13.0,2.9000002,0.0,140.94000972
2010,Agaton,Negros Oriental,0,0.24955000000000002,1,0,0,1,0,0,11.1,0.46249999999999997,43.56,20.608229,1.5875,3.850208714194224,0.8061023622047243,0.0,17.0,12.7,0.0,553.212
