Year,Storm,Province,Affected
2021,Auring,Agusan del Norte,15398.0
2021,Auring,Agusan del Sur,9980.0
2021,Auring,Camarines Sur,47.0
2021,Auring,Davao Oriental,674.0
2021,Auring,Davao de Oro,1796.0
2021,Auring,Davao del Norte,975.0
2021,Auring,Dinagat Islands,10157.0
2021,Auring,Misamis Oriental,6653.0
2021,Auring,Sorsogon,33.0
2021,Auring,Southern Leyte,5.0
2021,Auring,Surigao del Norte,39882.0
2021,Auring,Surigao del Sur,186851.0
