Year,Storm,Province,Affected
2022,Florita,Abra,2041.0
2022,Florita,Apayao,1284.0
2022,Florita,Aurora,73.0
2022,Florita,Bataan,23.0
2022,Florita,Benguet,86.0
2022,Florita,Cagayan,14218.0
2022,Florita,Cavite,7.0
2022,Florita,Ilocos Norte,11059.0
2022,Florita,Ilocos Sur,1254.0
2022,Florita,Isabela,8491.0
2022,Florita,Kalinga,1.0
2022,Florita,La Union,1374.0
2022,Florita,Nueva Vizcaya,10.0
2022,Florita,Pangasinan,36778.0
2022,Florita,Quezon,10.0
2022,Florita,Rizal,1521.0
2022,Florita,Tarlac,8.0
2022,Florita,Zambales,1368.0
