Year,Storm,Province,Damage to Infrastructure (PhP)
2020,Ulysses,Abra,0.0
2020,Ulysses,Apayao,0.0
2020,Ulysses,Batangas,0.0
2020,Ulysses,Benguet,0.0
2020,Ulysses,Cagayan,164.0
2020,Ulysses,Camarines Norte,0.0
2020,Ulysses,Isabela,114.0
2020,Ulysses,Kalinga,0.0
2020,Ulysses,La Union,0.0
2020,Ulysses,Laguna,6.0
2020,Ulysses,Marinduque,6.0
2020,Ulysses,Nueva Ecija,2.0
2020,Ulysses,Nueva Vizcaya,2.0
2020,Ulysses,Pangasinan,4.0
2020,Ulysses,Quezon,0.0
2020,Ulysses,Quirino,3.0
2020,Ulysses,Rizal,3.0
2020,Ulysses,Romblon,0.0
