Year,Storm,Province,Affected
2024,Pepito,Abra,9403.0
2024,Pepito,Albay,660255.0
2024,Pepito,Apayao,5584.0
2024,Pepito,Aurora,106151.0
2024,Pepito,Bataan,3716.0
2024,Pepito,Batanes,23.0
2024,Pepito,Benguet,3853.0
2024,Pepito,Biliran,18826.0
2024,Pepito,Bulacan,12728.0
2024,Pepito,Cagayan,209746.0
2024,Pepito,Camarines Norte,111071.0
2024,Pepito,Camarines Sur,605519.0
2024,Pepito,Catanduanes,224711.0
2024,Pepito,Eastern Samar,159819.0
2024,Pepito,Ifugao,5886.0
2024,Pepito,Ilocos Norte,0.0
2024,Pepito,Ilocos Sur,9.0
2024,Pepito,Isabela,221289.0
2024,Pepito,Kalinga,4754.0
2024,Pepito,La Union,5786.0
2024,Pepito,Leyte,1100.0
2024,Pepito,Marinduque,13851.0
2024,Pepito,Masbate,89166.0
2024,Pepito,Northern Samar,224414.0
2024,Pepito,Nueva Ecija,132118.0
2024,Pepito,Nueva Vizcaya,31369.0
2024,Pepito,Occidental Mindoro,245.0
2024,Pepito,Oriental Mindoro,2016.0
2024,Pepito,Pampanga,54388.0
2024,Pepito,Pangasinan,103784.0
2024,Pepito,Quezon,205714.0
2024,Pepito,Quirino,272930.0
2024,Pepito,Rizal,434.0
2024,Pepito,Romblon,3623.0
2024,Pepito,Samar,4434.0
2024,Pepito,Sorsogon,274653.0
2024,Pepito,Tarlac,9618.0
2024,Pepito,Zambales,4459.0
