Year,Storm,Province,Affected
2022,Paeng,Abra,9.68
2022,Paeng,Agusan del Norte,302.0
2022,Paeng,Aklan,286028.0
2022,Paeng,Albay,69076.0
2022,Paeng,Antique,255531.0
2022,Paeng,Apayao,250.0
2022,Paeng,Aurora,13859.0
2022,Paeng,Basilan,1994.0
2022,Paeng,Bataan,68444.0
2022,Paeng,Batangas,75308.0
2022,Paeng,Benguet,13908.0
2022,Paeng,Biliran,5718.0
2022,Paeng,Bulacan,296027.0
2022,Paeng,Cagayan,151950.0
2022,Paeng,Camarines Norte,35810.0
2022,Paeng,Camarines Sur,94111.0
2022,Paeng,Capiz,450520.0
2022,Paeng,Catanduanes,43079.0
2022,Paeng,Cavite,534393.0
2022,Paeng,Cebu,680.0
2022,Paeng,Cotabato,58569.0
2022,Paeng,Davao Occidental,7355.0
2022,Paeng,Davao Oriental,1430.0
2022,Paeng,Davao del Norte,289.0
2022,Paeng,Dinagat Islands,1977.0
2022,Paeng,Eastern Samar,166842.0
2022,Paeng,Guimaras,7.464
2022,Paeng,Ifugao,790.0
2022,Paeng,Ilocos Norte,0.0
2022,Paeng,Ilocos Sur,1021.0
2022,Paeng,Iloilo,488405.0
2022,Paeng,Isabela,171282.0
2022,Paeng,Kalinga,10027.0
2022,Paeng,La Union,3267.0
2022,Paeng,Laguna,273203.0
2022,Paeng,Lanao del Norte,1313.0
2022,Paeng,Lanao del Sur,550.0
2022,Paeng,Leyte,148845.0
2022,Paeng,Marinduque,90931.0
2022,Paeng,Masbate,11580.0
2022,Paeng,Misamis Oriental,4791.0
2022,Paeng,Negros Occidental,192663.0
2022,Paeng,Negros Oriental,1019.0
2022,Paeng,Northern Samar,43343.0
2022,Paeng,Nueva Ecija,3253.0
2022,Paeng,Nueva Vizcaya,5444.0
2022,Paeng,Occidental Mindoro,17473.0
2022,Paeng,Oriental Mindoro,83779.0
2022,Paeng,Palawan,8556.0
2022,Paeng,Pampanga,61055.0
2022,Paeng,Pangasinan,33731.0
2022,Paeng,Quezon,141217.0
2022,Paeng,Quirino,3045.0
2022,Paeng,Rizal,27907.0
2022,Paeng,Romblon,16834.0
2022,Paeng,Samar,22186.0
2022,Paeng,Sarangani,10631.0
2022,Paeng,Siquijor,0.0
2022,Paeng,Sorsogon,11864.0
2022,Paeng,South Cotabato,1153.0
2022,Paeng,Southern Leyte,11546.0
2022,Paeng,Sultan Kudarat,132139.0
2022,Paeng,Sulu,1289.0
2022,Paeng,Surigao del Norte,2061.0
2022,Paeng,Tarlac,1289.0
2022,Paeng,Tawi-Tawi,0.0
2022,Paeng,Zambales,1740.0
2022,Paeng,Zamboanga del Norte,3095.0
2022,Paeng,Zamboanga del Sur,7751.0
