Year,Storm,Province,Affected
2023,Goring,Abra,11710.0
2023,Goring,Aklan,10.0
2023,Goring,Antique,28270.0
2023,Goring,Apayao,2075.0
2023,Goring,Aurora,49.0
2023,Goring,Bataan,251.0
2023,Goring,Batanes,90.0
2023,Goring,Batangas,2553.0
2023,Goring,Benguet,88.0
2023,Goring,Bulacan,22.0
2023,Goring,Cagayan,51942.0
2023,Goring,Cavite,1349.0
2023,Goring,Guimaras,5012.0
2023,Goring,Ilocos Sur,15461.0
2023,Goring,Iloilo,160675.0
2023,Goring,Isabela,2138.0
2023,Goring,Kalinga,0.0
2023,Goring,Laguna,20.0
2023,Goring,Negros Occidental,96421.0
2023,Goring,Nueva Vizcaya,9.0
2023,Goring,Occidental Mindoro,5918.0
2023,Goring,Palawan,94.0
2023,Goring,Pampanga,10.0
2023,Goring,Quirino,8.0
2023,Goring,Rizal,520.0
2023,Goring,Zambales,46.0
