Year,Storm,Province,approach_angle_deg,approach_speed_kmh,bearing_at_closest_deg,bearing_variability_deg,departure_speed_kmh,did_cross_province,distance_at_12hr,distance_at_24hr,distance_at_48hr,distance_at_72hr,distance_at_current,distance_range_km,distance_std_km,hours_under_100km,hours_under_200km,hours_under_300km,hours_under_500km,hours_under_50km,integrated_proximity,max_distance_km,mean_distance_km,min_distance_km,proximity_peak,time_approaching_hours,time_departing_hours,weighted_exposure_hours
2010,Agaton,Abra,1.5900000000000034,16.853827160493825,89.41,9.366830962441743,5.3566666666666585,0,3694.42,3422.33,3018.48,2613.09,3905.7,2730.3199999999997,901.4492617426221,0.0,0.0,0.0,0.0,0.0,1.9105821082349875e-05,3905.7,2287.484098360655,1175.38,7.238408559544821e-07,162.0,18.0,8.520608776345233e-05
2010,Agaton,Agusan del Norte,3.270000000000003,16.41219696969697,53.08,25.34257892316316,7.436458333333332,0,2894.65,2622.62,2214.4,1881.06,3134.76,2166.4100000000003,670.6226052348082,0.0,0.0,0.0,0.0,0.0,3.035646767817134e-05,3134.76,1735.9314754098361,968.35,1.0664360633761516e-06,132.0,48.0,0.000647525061007343
2010,Agaton,Agusan del Sur,3.0900000000000034,16.495891472868216,53.08,26.265485318194077,7.379215686274509,0,2845.15,2573.53,2165.89,1837.37,3086.22,2127.97,653.433996164666,0.0,0.0,0.0,0.0,0.0,3.104105563408665e-05,3086.22,1707.2414754098363,958.25,1.0890350842862106e-06,129.0,51.0,0.0007014673012492832
2010,Agaton,Aklan,2.530000000000001,17.18709219858156,68.44,18.022929885737742,5.9830769230769265,0,3302.51,3028.63,2618.34,2256.12,3535.22,2423.38,779.9999111414376,0.0,0.0,0.0,0.0,0.0,2.3035299986329535e-05,3535.22,2019.5011475409838,1111.84,8.089376704218922e-07,141.0,39.0,0.0001625054942897708
2010,Agaton,Albay,2.190000000000012,17.453680555555554,72.35,18.180032145889747,5.933611111111109,0,3206.41,2932.22,2522.6,2142.35,3432.07,2513.33,817.5476641335562,0.0,0.0,0.0,0.0,0.0,3.0512782816552495e-05,3432.07,1880.7032786885243,918.74,1.1847159497719276e-06,144.0,36.0,0.0011233006693351956
2010,Agaton,Antique,2.3800000000000097,16.748794326241136,64.49,18.358309418289636,6.41205128205128,0,3320.96,3047.78,2638.08,2287.31,3557.35,2361.58,754.2182347274056,0.0,0.0,0.0,0.0,0.0,2.0803384080832718e-05,3557.35,2068.1954098360657,1195.77,6.993657975896199e-07,141.0,39.0,6.983902331853723e-05
2010,Agaton,Apayao,1.690000000000012,16.93320987654321,90.74,9.348291446549569,5.236111111111111,0,3633.52,3361.97,2959.41,2551.28,3842.74,2743.18,905.9892238967219,0.0,0.0,0.0,0.0,0.0,2.1093833693052337e-05,3842.74,2222.691639344263,1099.56,8.271071508156152e-07,162.0,18.0,0.00017883649113982562
2010,Agaton,Aurora,1.8100000000000023,16.341234567901235,79.03,12.26020366797032,6.72722222222223,0,3524.58,3251.21,2844.27,2448.09,3742.15,2647.28,875.4033272842088,0.0,0.0,0.0,0.0,0.0,2.243891720558764e-05,3742.15,2141.518360655738,1094.87,8.342083366126447e-07,162.0,18.0,0.0002194724295496905
2010,Agaton,Basilan,2.220000000000006,15.25940740740741,51.87,20.57987589116564,7.340000000000004,0,3243.46,2976.73,2576.27,2279.02,3491.61,2060.0200000000004,630.5509882309624,0.0,0.0,0.0,0.0,0.0,1.6705932401243945e-05,3491.61,2145.0281967213114,1431.59,4.879355666871603e-07,135.0,45.0,6.727095758042255e-06
2010,Agaton,Bataan,1.5900000000000034,17.972430555555558,84.25,12.920620243074053,3.7972222222222234,0,3587.48,3313.4,2904.3,2518.71,3810.8,2588.03,852.7724529949315,0.0,0.0,0.0,0.0,0.0,1.9190260117664676e-05,3810.8,2227.433606557377,1222.77,6.688213983550738e-07,144.0,36.0,6.313729113641976e-05
2010,Agaton,Batanes,1.4500000000000028,17.407098765432096,106.71,6.083154640834417,2.9127777777777686,0,3701.85,3434.69,3041.54,2620.52,3897.85,2819.95,931.0756661222192,0.0,0.0,0.0,0.0,0.0,2.0685480071568672e-05,3897.85,2274.050983606557,1077.9,8.606819246579526e-07,162.0,18.0,0.0002058711982295603
2010,Agaton,Batangas,1.6700000000000017,17.683402777777776,79.19,14.398228697532362,4.625,0,3503.4,3229.19,2819.36,2440.27,3729.73,2546.41,833.3970788091611,0.0,0.0,0.0,0.0,0.0,2.034207336068175e-05,3729.73,2163.252786885246,1183.32,7.141596026778878e-07,144.0,36.0,8.702884339866344e-05
2010,Agaton,Benguet,1.6400000000000006,16.536296296296296,83.29,10.791366855154456,6.150000000000002,0,3651.54,3378.4,2972.02,2573.68,3867.72,2678.88,884.699806007065,0.0,0.0,0.0,0.0,0.0,1.9288963760297068e-05,3867.72,2259.879508196722,1188.84,7.075430585856544e-07,162.0,18.0,8.048958601283123e-05
2010,Agaton,Biliran,3.1200000000000045,17.03156028368794,62.94,21.245433135898967,6.894615384615381,0,3080.52,2806.45,2396.12,2030.21,3311.64,2401.45,769.6200800529048,0.0,0.0,0.0,0.0,0.0,3.168602658995669e-05,3311.64,1806.2308196721315,910.19,1.2070780603226205e-06,141.0,39.0,0.0011714440515060694
2010,Agaton,Bohol,2.1300000000000026,16.35753623188406,56.91,21.909014251114144,7.281190476190475,0,3091.21,2818.72,2409.86,2069.37,3330.02,2257.34,709.7270934277421,0.0,0.0,0.0,0.0,0.0,2.5315956020896207e-05,3330.02,1887.9870491803283,1072.68,8.690789998845778e-07,138.0,42.0,0.0002316918052646729
2010,Agaton,Bukidnon,2.789999999999999,16.32790697674419,53.61,24.895079923700134,7.17901960784314,0,2920.59,2649.96,2243.74,1923.27,3163.61,2106.3,645.9246190614674,0.0,0.0,0.0,0.0,0.0,2.6809160093592168e-05,3163.61,1794.255737704918,1057.31,8.9453004494608e-07,129.0,51.0,0.0002676364479008772
2010,Agaton,Bulacan,1.6199999999999903,18.027708333333333,85.04,12.923344318691965,3.7147222222222163,0,3565.77,3291.77,2882.97,2495.46,3788.12,2595.99,856.4042086560936,0.0,0.0,0.0,0.0,0.0,1.9968367094179537e-05,3788.12,2201.8583606557377,1192.13,7.036431434551566e-07,144.0,36.0,8.648959099944817e-05
2010,Agaton,Cagayan,1.7600000000000051,16.905308641975306,89.8,9.737974142108186,5.398888888888893,0,3588.09,3316.52,2913.93,2505.89,3797.45,2738.66,904.741145287796,0.0,0.0,0.0,0.0,0.0,2.2462246043891888e-05,3797.45,2178.3265573770495,1058.79,8.92031007374967e-07,162.0,18.0,0.0002707391690380096
2010,Agaton,Camarines Norte,2.029999999999987,17.84763888888889,79.79,15.806092637711453,4.830833333333335,0,3321.77,3047.77,2638.99,2251.94,3544.32,2570.0600000000004,842.962589243797,0.0,0.0,0.0,0.0,0.0,2.757687190294452e-05,3544.32,1970.2709836065574,974.26,1.0535370134980624e-06,144.0,36.0,0.0006885548211675271
2010,Agaton,Camarines Sur,2.1099999999999994,17.646805555555556,75.97,16.976500974185615,5.404444444444443,0,3266.59,2992.46,2583.17,2199.86,3490.91,2541.14,829.8178849946702,0.0,0.0,0.0,0.0,0.0,2.8818851116950546e-05,3490.91,1928.3877049180328,949.77,1.1085687283349233e-06,144.0,36.0,0.0008457635434091637
2010,Agaton,Camiguin,3.1000000000000014,16.363777777777777,54.33,23.64608787307439,7.373333333333335,0,2988.89,2716.67,2308.18,1971.77,3228.49,2209.1099999999997,689.1718904678025,0.0,0.0,0.0,0.0,0.0,2.774852166260649e-05,3228.49,1808.9570491803277,1019.38,9.62337401081305e-07,135.0,45.0,0.00039233302762817083
2010,Agaton,Capiz,2.6200000000000045,17.116950354609926,67.07,18.639121367815317,6.198205128205129,0,3258.85,2984.98,2574.7,2212.9,3491.65,2413.49,775.5770327754849,0.0,0.0,0.0,0.0,0.0,2.4231951988841232e-05,3491.65,1980.3201639344259,1078.16,8.602668654352027e-07,141.0,39.0,0.0002251904059929799
2010,Agaton,Catanduanes,2.3500000000000085,17.65423611111111,74.57,18.251413949415422,5.745833333333331,0,3171.37,2897.34,2488.45,2102.53,3394.44,2542.21,829.6467876058673,0.0,0.0,0.0,0.0,0.0,3.4115530834456254e-05,3394.44,1832.5729508196725,852.23,1.3768472640153557e-06,144.0,36.0,0.002187596863281987
2010,Agaton,Cavite,1.6400000000000006,17.858124999999998,82.09,13.616611860895382,4.170277777777774,0,3542.04,3267.89,2858.47,2475.34,3766.54,2571.5699999999997,844.927899759177,0.0,0.0,0.0,0.0,0.0,1.9950802619621197e-05,3766.54,2189.917704918033,1194.97,7.003025232458263e-07,144.0,36.0,8.04481568776132e-05
2010,Agaton,Cebu,2.1700000000000017,16.75072463768116,60.62,21.25794047322384,6.867857142857138,0,3118.46,2845.3,2435.63,2086.61,3355.0,2311.6,732.3627739272017,0.0,0.0,0.0,0.0,0.0,2.6112914706156234e-05,3355.0,1888.3286885245905,1043.4,9.185397099780673e-07,138.0,42.0,0.0003107452592129173
2010,Agaton,Cotabato,2.6700000000000017,15.599069767441858,48.71,25.07049706015662,7.68529411764706,0,2906.51,2638.24,2235.65,1933.67,3152.97,2012.2799999999997,605.9941456572562,0.0,0.0,0.0,0.0,0.0,2.4210561301904892e-05,3152.97,1832.9978688524586,1140.69,7.685363221157144e-07,129.0,51.0,0.00011406790862782565
2010,Agaton,Davao Occidental,2.6999999999999957,15.064496124031008,44.35,26.03854113944918,8.184901960784314,0,2839.84,2572.93,2172.59,1881.18,3087.81,1943.32,577.0718941839289,0.0,0.0,0.0,0.0,0.0,2.4455696194442802e-05,3087.81,1804.5122950819668,1144.49,7.634413234753535e-07,129.0,51.0,0.00011017071222692271
2010,Agaton,Davao Oriental,2.9299999999999997,15.287906976744189,44.05,27.174349583795713,8.297254901960786,0,2779.77,2511.31,2108.55,1807.63,3026.01,1972.1400000000003,587.7478016438406,0.0,0.0,0.0,0.0,0.0,2.764035680503561e-05,3026.01,1728.0185245901644,1053.87,9.003793485384262e-07,129.0,51.0,0.00026792923538932823
2010,Agaton,Davao de Oro,2.969999999999999,15.808837209302327,47.97,26.607705119533144,7.894117647058822,0,2819.73,2549.91,2144.96,1832.8,3064.09,2039.3400000000001,615.5829199523924,0.0,0.0,0.0,0.0,0.0,2.8431465682420044e-05,3064.09,1731.0380327868857,1024.75,9.522779589850312e-07,129.0,51.0,0.0003547033783151647
2010,Agaton,Davao del Norte,2.9000000000000057,15.740775193798449,47.94,26.307388130522053,7.869607843137257,0,2835.26,2565.8,2161.41,1851.89,3080.16,2030.56,612.2619602095538,0.0,0.0,0.0,0.0,0.0,2.745038944125673e-05,3080.16,1751.4301639344262,1049.6,9.077201196781777e-07,129.0,51.0,0.00027811581768577434
2010,Agaton,Davao del Sur,2.6899999999999977,15.361472868217055,46.67,25.563053480596054,7.927450980392156,0,2873.39,2605.69,2204.03,1906.6,3120.51,1981.63,592.9245014215313,0.0,0.0,0.0,0.0,0.0,2.442640817078559e-05,3120.51,1816.9132786885245,1138.88,7.709811012930648e-07,129.0,51.0,0.0001157670241217236
2010,Agaton,Dinagat Islands,3.5400000000000063,16.78474074074074,55.8,24.816449922939178,7.36177777777778,0,2916.03,2642.67,2232.81,1882.71,3151.84,2265.94,711.8508737456596,0.0,0.0,0.0,0.0,0.0,3.404164069864254e-05,3151.84,1706.6699999999996,885.9,1.274177826882326e-06,135.0,45.0,0.0014592426809073634
2010,Agaton,Eastern Samar,2.75,17.348768115942026,63.36,23.0796730498771,6.844523809523808,0,2978.75,2704.6,2294.33,1925.55,3208.72,2394.1299999999997,765.778170194098,0.0,0.0,0.0,0.0,0.0,3.765832648296381e-05,3208.72,1707.2886885245903,814.59,1.5070275677136529e-06,138.0,42.0,0.0029860845555859036
2010,Agaton,Guimaras,2.490000000000002,16.62929078014184,62.35,19.328004645026947,6.729743589743591,0,3248.0,2974.82,2565.13,2214.91,3484.43,2344.7299999999996,747.0594918314027,0.0,0.0,0.0,0.0,0.0,2.255429672695627e-05,3484.43,2002.5708196721312,1139.7,7.698720785943312e-07,141.0,39.0,0.0001215239275712967
2010,Agaton,Ifugao,1.7099999999999937,16.66283950617284,85.15,10.574610715123473,5.955000000000003,0,3613.76,3341.1,2935.91,2533.99,3827.61,2699.38,891.7373758450775,0.0,0.0,0.0,0.0,0.0,2.075753194038411e-05,3827.61,2215.4678688524596,1128.23,7.856052402334438e-07,162.0,18.0,0.00014327737074365708
2010,Agaton,Ilocos Norte,1.5499999999999972,16.98777777777778,92.51,8.630610737903659,4.92222222222223,0,3723.26,3451.79,3049.36,2640.9,3932.09,2752.0200000000004,908.5079016661558,0.0,0.0,0.0,0.0,0.0,1.8754829235373422e-05,3932.09,2310.3026229508205,1180.07,7.180987133547522e-07,162.0,18.0,7.898354313008968e-05
2010,Agaton,Ilocos Sur,1.5600000000000023,16.83679012345679,89.19,9.324416558412494,5.366666666666674,0,3716.32,3444.1,3039.94,2635.26,3928.1,2727.56,900.4198154021708,0.0,0.0,0.0,0.0,0.0,1.84975190336882e-05,3928.1,2310.291803278689,1200.54,6.938193846807892e-07,162.0,18.0,6.647398892728574e-05
2010,Agaton,Iloilo,2.549999999999997,16.830921985815603,64.19,19.07987339084273,6.527948717948722,0,3251.05,2977.54,2567.52,2212.47,3486.02,2373.16,758.7331485933389,0.0,0.0,0.0,0.0,0.0,2.326035914767128e-05,3486.02,1991.9083606557379,1112.86,8.07455475672087e-07,141.0,39.0,0.00015855204469585727
