date,province,latitude,longitude,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,precipitation_hours
2025-10-18 16:00:00+00:00,Abra,17.625,120.625,2.3999999,8.78872,34.56,5.0
2025-10-18 16:00:00+00:00,Agusan del Norte,9.0,125.5,1.3000001,14.277983,24.119999,4.0
2025-10-18 16:00:00+00:00,Agusan del Sur,8.5,125.75,0.5,10.931203,23.039999,3.0
2025-10-18 16:00:00+00:00,Aklan,11.625,122.375,9.4,4.3349743,27.0,12.0
2025-10-18 16:00:00+00:00,Albay,13.125,123.75,13.0,15.256526,36.36,15.0
2025-10-18 16:00:00+00:00,Antique,10.75,122.0,28.099997,28.528723,39.96,22.0
2025-10-18 16:00:00+00:00,Apayao,17.625,121.5,12.000001,8.225035,36.36,16.0
2025-10-18 16:00:00+00:00,Aurora,15.875,121.5,104.799995,25.210283,116.27999,24.0
2025-10-18 16:00:00+00:00,Basilan,6.625,122.125,0.6,5.0911684,16.919998,4.0
2025-10-18 16:00:00+00:00,Bataan,14.625,120.5,52.800003,13.570615,68.03999,21.0
2025-10-18 16:00:00+00:00,Batanes,20.5,122.0,24.600002,27.66384,38.88,22.0
2025-10-18 16:00:00+00:00,Batangas,13.75,121.0,40.799995,14.291592,32.760002,20.0
2025-10-18 16:00:00+00:00,Benguet,16.5,120.75,11.200001,18.057508,67.32,14.0
2025-10-18 16:00:00+00:00,Biliran,11.625,124.375,9.7,23.667091,30.960001,7.0
2025-10-18 16:00:00+00:00,Bohol,9.625,123.875,0.2,11.966953,21.24,2.0
2025-10-18 16:00:00+00:00,Bukidnon,8.0,125.25,0.0,9.779817,18.359999,0.0
2025-10-18 16:00:00+00:00,Bulacan,15.0,120.75,30.2,20.969807,38.519997,21.0
2025-10-18 16:00:00+00:00,Cagayan,17.625,121.75,8.3,8.707237,45.719997,11.0
2025-10-18 16:00:00+00:00,Camarines Norte,14.125,122.875,46.2,12.661564,36.719997,10.0
2025-10-18 16:00:00+00:00,Camarines Sur,13.625,123.25,21.0,22.406927,42.48,15.0
2025-10-18 16:00:00+00:00,Camiguin,9.25,124.75,0.2,9.826088,23.759998,2.0
2025-10-18 16:00:00+00:00,Capiz,11.5,122.75,0.4,19.416653,38.16,4.0
2025-10-18 16:00:00+00:00,Catanduanes,13.625,124.125,8.099999,27.103003,42.839996,10.0
2025-10-18 16:00:00+00:00,Cavite,14.25,120.875,45.1,12.324414,35.64,19.0
2025-10-18 16:00:00+00:00,Cebu,10.5,123.875,0.0,10.105681,23.039999,0.0
2025-10-18 16:00:00+00:00,Cotabato,7.0,125.125,0.0,8.699793,20.16,0.0
2025-10-18 16:00:00+00:00,Davao Occidental,6.5,125.5,0.0,14.186923,33.839996,0.0
2025-10-18 16:00:00+00:00,Davao Oriental,6.875,126.125,2.9999998,7.2359104,9.72,8.0
2025-10-18 16:00:00+00:00,Davao de Oro,7.625,126.0,0.70000005,10.1376915,20.880001,2.0
2025-10-18 16:00:00+00:00,Davao del Norte,7.5,125.75,0.0,14.372974,29.519999,0.0
2025-10-18 16:00:00+00:00,Davao del Sur,6.625,125.375,0.0,14.205182,27.359999,0.0
2025-10-18 16:00:00+00:00,Dinagat Islands,10.125,125.625,2.2,10.163227,19.08,13.0
2025-10-18 16:00:00+00:00,Eastern Samar,11.625,125.375,4.0,9.686609,31.68,13.0
2025-10-18 16:00:00+00:00,Guimaras,10.625,122.625,25.8,20.447239,32.760002,16.0
2025-10-18 16:00:00+00:00,Ifugao,16.875,121.25,47.200005,12.303366,52.92,24.0
2025-10-18 16:00:00+00:00,Ilocos Norte,18.125,120.625,2.1,23.34455,36.0,7.0
2025-10-18 16:00:00+00:00,Ilocos Sur,17.625,120.375,2.6,33.709534,45.36,3.0
2025-10-18 16:00:00+00:00,Iloilo,11.0,122.625,0.90000004,18.228943,34.56,5.0
2025-10-18 16:00:00+00:00,Isabela,17.125,121.875,11.9,14.658676,41.039997,15.0
2025-10-18 16:00:00+00:00,Kalinga,17.5,121.5,22.1,7.5170207,37.079998,23.0
2025-10-18 16:00:00+00:00,La Union,16.625,120.375,9.299999,24.482647,43.56,8.0
2025-10-18 16:00:00+00:00,Laguna,14.375,121.375,40.70001,15.034041,38.519997,21.0
2025-10-18 16:00:00+00:00,Lanao del Norte,8.25,124.25,1.1,13.441071,25.919998,3.0
2025-10-18 16:00:00+00:00,Lanao del Sur,7.875,124.375,2.8999999,9.793058,21.24,5.0
2025-10-18 16:00:00+00:00,Leyte,11.25,124.875,3.4,12.245293,31.68,7.0
2025-10-18 16:00:00+00:00,Maguindanao del Norte,7.0,124.375,0.1,10.137692,23.4,1.0
2025-10-18 16:00:00+00:00,Maguindanao del Sur,6.75,124.75,0.0,6.439876,12.24,0.0
2025-10-18 16:00:00+00:00,Marinduque,13.375,121.875,91.09999,26.072052,38.88,16.0
2025-10-18 16:00:00+00:00,Masbate,12.0,123.75,20.200003,17.294992,31.319998,14.0
2025-10-18 16:00:00+00:00,Metro Manila,14.625,121.0,36.0,31.956972,50.399998,19.0
2025-10-18 16:00:00+00:00,Misamis Occidental,8.375,123.75,1.7,7.5685663,40.68,6.0
2025-10-18 16:00:00+00:00,Misamis Oriental,8.625,124.5,0.6,14.618837,23.039999,1.0
2025-10-18 16:00:00+00:00,Mountain Province,17.125,120.875,1.2,6.792466,20.519999,3.0
2025-10-18 16:00:00+00:00,Negros Occidental,10.625,123.0,0.6,14.291592,26.28,5.0
2025-10-18 16:00:00+00:00,Negros Oriental,9.5,123.125,0.2,14.512064,30.960001,2.0
2025-10-18 16:00:00+00:00,Northern Samar,12.5,124.625,6.8000007,9.449572,25.56,7.0
2025-10-18 16:00:00+00:00,Nueva Ecija,15.5,121.0,79.3,20.371038,44.28,19.0
2025-10-18 16:00:00+00:00,Nueva Vizcaya,16.5,121.125,57.899998,17.786331,82.799995,24.0
2025-10-18 16:00:00+00:00,Occidental Mindoro,12.375,121.125,33.399998,17.388409,29.16,17.0
2025-10-18 16:00:00+00:00,Oriental Mindoro,13.375,121.125,31.9,9.255571,29.519999,18.0
2025-10-18 16:00:00+00:00,Palawan,9.75,118.625,5.0000005,8.287822,23.759998,7.0
2025-10-18 16:00:00+00:00,Pampanga,15.0,120.625,30.2,20.969807,38.519997,21.0
2025-10-18 16:00:00+00:00,Pangasinan,16.0,120.375,23.0,33.40249,55.079998,15.0
2025-10-18 16:00:00+00:00,Quezon,13.875,121.5,28.800001,19.85556,38.519997,19.0
2025-10-18 16:00:00+00:00,Quirino,16.625,121.5,42.600002,9.504272,44.639996,22.0
2025-10-18 16:00:00+00:00,Rizal,14.5,121.25,47.199997,13.18308,36.36,21.0
2025-10-18 16:00:00+00:00,Romblon,12.375,122.0,52.199997,33.74796,45.36,24.0
2025-10-18 16:00:00+00:00,Samar,11.625,124.875,16.2,13.246826,28.44,20.0
2025-10-18 16:00:00+00:00,Sarangani,6.125,125.25,0.0,15.941944,32.039997,0.0
2025-10-18 16:00:00+00:00,Siquijor,9.25,123.5,0.70000005,16.363178,23.4,2.0
2025-10-18 16:00:00+00:00,Sorsogon,12.875,124.125,0.6,9.114471,31.319998,5.0
2025-10-18 16:00:00+00:00,South Cotabato,6.5,124.875,0.0,6.439876,14.4,0.0
2025-10-18 16:00:00+00:00,Southern Leyte,10.25,124.875,0.7,9.931042,16.199999,5.0
2025-10-18 16:00:00+00:00,Sultan Kudarat,6.625,124.75,0.0,8.287822,16.919998,0.0
2025-10-18 16:00:00+00:00,Sulu,6.0,121.0,0.3,8.161764,15.119999,3.0
2025-10-18 16:00:00+00:00,Surigao del Norte,9.75,125.5,7.6,11.043261,26.64,11.0
2025-10-18 16:00:00+00:00,Surigao del Sur,9.0,126.25,1.9000001,11.885453,26.64,5.0
2025-10-18 16:00:00+00:00,Tarlac,15.5,120.625,42.600006,24.522314,43.92,19.0
2025-10-18 16:00:00+00:00,Tawi-Tawi,5.125,119.875,0.0,8.225035,11.879999,0.0
2025-10-18 16:00:00+00:00,Zambales,15.375,120.0,90.2,33.50128,51.839996,17.0
2025-10-18 16:00:00+00:00,Zamboanga Sibugay,7.625,122.5,0.3,16.485485,30.239998,2.0
2025-10-18 16:00:00+00:00,Zamboanga del Norte,8.5,123.375,2.8000002,6.379216,29.519999,5.0
2025-10-18 16:00:00+00:00,Zamboanga del Sur,7.875,123.5,0.4,11.440978,27.359999,4.0
2025-10-19 16:00:00+00:00,Abra,17.625,120.625,2.8999999,7.6367526,17.64,4.0
2025-10-19 16:00:00+00:00,Agusan del Norte,9.0,125.5,0.0,16.279802,27.359999,0.0
2025-10-19 16:00:00+00:00,Agusan del Sur,8.5,125.75,1.2,9.449572,20.519999,5.0
2025-10-19 16:00:00+00:00,Aklan,11.625,122.375,0.8,9.3876505,27.359999,4.0
2025-10-19 16:00:00+00:00,Albay,13.125,123.75,0.2,11.720751,32.399998,2.0
2025-10-19 16:00:00+00:00,Antique,10.75,122.0,0.6,11.885453,16.199999,3.0
2025-10-19 16:00:00+00:00,Apayao,17.625,121.5,0.8000001,14.003028,32.399998,6.0
2025-10-19 16:00:00+00:00,Aurora,15.875,121.5,3.8,9.726665,48.96,16.0
2025-10-19 16:00:00+00:00,Basilan,6.625,122.125,0.90000004,7.5942082,20.519999,5.0
2025-10-19 16:00:00+00:00,Bataan,14.625,120.5,2.0,12.768586,49.68,6.0
2025-10-19 16:00:00+00:00,Batanes,20.5,122.0,9.800001,26.27753,34.56,23.0
2025-10-19 16:00:00+00:00,Batangas,13.75,121.0,0.2,22.206486,32.760002,2.0
2025-10-19 16:00:00+00:00,Benguet,16.5,120.75,0.3,14.578888,55.44,2.0
2025-10-19 16:00:00+00:00,Biliran,11.625,124.375,1.9000001,10.495713,17.28,4.0
2025-10-19 16:00:00+00:00,Bohol,9.625,123.875,0.2,6.1305785,15.4800005,2.0
2025-10-19 16:00:00+00:00,Bukidnon,8.0,125.25,0.0,14.039999,27.0,0.0
2025-10-19 16:00:00+00:00,Bulacan,15.0,120.75,0.0,9.0,15.84,0.0
2025-10-19 16:00:00+00:00,Cagayan,17.625,121.75,6.6000004,10.805999,26.64,8.0
2025-10-19 16:00:00+00:00,Camarines Norte,14.125,122.875,1.7000002,10.1887,25.56,7.0
2025-10-19 16:00:00+00:00,Camarines Sur,13.625,123.25,1.5,8.534353,23.4,4.0
2025-10-19 16:00:00+00:00,Camiguin,9.25,124.75,0.0,11.592894,29.16,0.0
2025-10-19 16:00:00+00:00,Capiz,11.5,122.75,0.5,11.212135,21.599998,4.0
2025-10-19 16:00:00+00:00,Catanduanes,13.625,124.125,4.7000003,6.696387,19.44,12.0
2025-10-19 16:00:00+00:00,Cavite,14.25,120.875,1.1,12.7279215,36.0,6.0
2025-10-19 16:00:00+00:00,Cebu,10.5,123.875,0.5,8.12197,22.68,3.0
2025-10-19 16:00:00+00:00,Cotabato,7.0,125.125,0.0,9.826088,24.84,0.0
2025-10-19 16:00:00+00:00,Davao Occidental,6.5,125.5,0.1,14.003028,31.68,1.0
2025-10-19 16:00:00+00:00,Davao Oriental,6.875,126.125,0.90000004,10.1376915,16.919998,7.0
2025-10-19 16:00:00+00:00,Davao de Oro,7.625,126.0,0.2,12.015589,27.0,2.0
2025-10-19 16:00:00+00:00,Davao del Norte,7.5,125.75,1.8,11.592894,23.4,3.0
2025-10-19 16:00:00+00:00,Davao del Sur,6.625,125.375,0.0,12.682018,24.119999,0.0
2025-10-19 16:00:00+00:00,Dinagat Islands,10.125,125.625,2.8000002,8.825508,18.72,15.0
2025-10-19 16:00:00+00:00,Eastern Samar,11.625,125.375,0.1,11.384199,33.12,1.0
2025-10-19 16:00:00+00:00,Guimaras,10.625,122.625,0.4,8.435069,14.4,3.0
2025-10-19 16:00:00+00:00,Ifugao,16.875,121.25,1.0000001,6.8777895,35.64,5.0
2025-10-19 16:00:00+00:00,Ilocos Norte,18.125,120.625,2.7,10.739833,21.96,3.0
2025-10-19 16:00:00+00:00,Ilocos Sur,17.625,120.375,0.7,13.684735,26.64,2.0
2025-10-19 16:00:00+00:00,Iloilo,11.0,122.625,0.0,11.246759,21.24,0.0
2025-10-19 16:00:00+00:00,Isabela,17.125,121.875,3.4999998,7.5685663,25.919998,7.0
2025-10-19 16:00:00+00:00,Kalinga,17.5,121.5,2.8000002,8.942214,28.08,10.0
2025-10-19 16:00:00+00:00,La Union,16.625,120.375,19.8,23.0653,33.12,9.0
2025-10-19 16:00:00+00:00,Laguna,14.375,121.375,0.0,16.199999,26.28,0.0
2025-10-19 16:00:00+00:00,Lanao del Norte,8.25,124.25,1.4000001,15.941944,23.759998,4.0
2025-10-19 16:00:00+00:00,Lanao del Sur,7.875,124.375,2.1999998,13.684735,24.48,6.0
2025-10-19 16:00:00+00:00,Leyte,11.25,124.875,1.9,10.137692,25.56,6.0
2025-10-19 16:00:00+00:00,Maguindanao del Norte,7.0,124.375,0.5,11.27553,33.839996,1.0
2025-10-19 16:00:00+00:00,Maguindanao del Sur,6.75,124.75,0.5,12.819235,22.68,2.0
2025-10-19 16:00:00+00:00,Marinduque,13.375,121.875,2.2000003,10.086427,18.0,10.0
2025-10-19 16:00:00+00:00,Masbate,12.0,123.75,0.9000001,9.531505,17.28,8.0
2025-10-19 16:00:00+00:00,Metro Manila,14.625,121.0,0.1,8.311245,11.5199995,1.0
2025-10-19 16:00:00+00:00,Misamis Occidental,8.375,123.75,0.70000005,8.473393,33.12,5.0
2025-10-19 16:00:00+00:00,Misamis Oriental,8.625,124.5,0.6,17.87718,28.8,1.0
2025-10-19 16:00:00+00:00,Mountain Province,17.125,120.875,17.7,9.83268,33.12,7.0
2025-10-19 16:00:00+00:00,Negros Occidental,10.625,123.0,0.4,12.413476,21.599998,3.0
2025-10-19 16:00:00+00:00,Negros Oriental,9.5,123.125,0.0,10.799999,25.56,0.0
2025-10-19 16:00:00+00:00,Northern Samar,12.5,124.625,1.3,12.768586,26.64,7.0
2025-10-19 16:00:00+00:00,Nueva Ecija,15.5,121.0,0.90000004,14.186923,32.760002,3.0
2025-10-19 16:00:00+00:00,Nueva Vizcaya,16.5,121.125,3.8,6.87779,45.719997,7.0
2025-10-19 16:00:00+00:00,Occidental Mindoro,12.375,121.125,0.0,15.273505,28.44,0.0
2025-10-19 16:00:00+00:00,Oriental Mindoro,13.375,121.125,1.8,14.440443,37.079998,6.0
2025-10-19 16:00:00+00:00,Palawan,9.75,118.625,0.90000004,6.489992,24.48,6.0
2025-10-19 16:00:00+00:00,Pampanga,15.0,120.625,0.0,9.0,15.84,0.0
2025-10-19 16:00:00+00:00,Pangasinan,16.0,120.375,0.8000001,24.57511,42.48,4.0
2025-10-19 16:00:00+00:00,Quezon,13.875,121.5,2.1,12.224107,32.399998,7.0
2025-10-19 16:00:00+00:00,Quirino,16.625,121.5,5.2000003,6.830519,27.359999,13.0
2025-10-19 16:00:00+00:00,Rizal,14.5,121.25,0.1,15.408671,34.56,1.0
2025-10-19 16:00:00+00:00,Romblon,12.375,122.0,1.6,10.8955765,16.199999,7.0
2025-10-19 16:00:00+00:00,Samar,11.625,124.875,1.4000001,7.8954163,18.72,7.0
2025-10-19 16:00:00+00:00,Sarangani,6.125,125.25,0.2,16.179985,31.319998,2.0
2025-10-19 16:00:00+00:00,Siquijor,9.25,123.5,0.4,15.629971,21.599998,1.0
2025-10-19 16:00:00+00:00,Sorsogon,12.875,124.125,1.7,12.074766,30.960001,8.0
2025-10-19 16:00:00+00:00,South Cotabato,6.5,124.875,1.3000001,7.968939,18.0,6.0
2025-10-19 16:00:00+00:00,Southern Leyte,10.25,124.875,1.0,11.252519,29.16,4.0
2025-10-19 16:00:00+00:00,Sultan Kudarat,6.625,124.75,0.5,8.427383,16.919998,2.0
2025-10-19 16:00:00+00:00,Sulu,6.0,121.0,1.1,5.2416787,15.4800005,7.0
2025-10-19 16:00:00+00:00,Surigao del Norte,9.75,125.5,1.2000002,14.20062,28.8,10.0
2025-10-19 16:00:00+00:00,Surigao del Sur,9.0,126.25,0.0,13.276144,29.16,0.0
2025-10-19 16:00:00+00:00,Tarlac,15.5,120.625,2.5,15.03835,35.28,7.0
2025-10-19 16:00:00+00:00,Tawi-Tawi,5.125,119.875,1.5000002,7.2805495,10.440001,9.0
2025-10-19 16:00:00+00:00,Zambales,15.375,120.0,0.0,20.188908,29.88,0.0
2025-10-19 16:00:00+00:00,Zamboanga Sibugay,7.625,122.5,0.0,9.0,18.72,0.0
2025-10-19 16:00:00+00:00,Zamboanga del Norte,8.5,123.375,0.70000005,12.245293,31.68,5.0
2025-10-19 16:00:00+00:00,Zamboanga del Sur,7.875,123.5,0.2,7.072878,17.64,2.0
2025-10-20 16:00:00+00:00,Abra,17.625,120.625,0.0,11.435313,22.319998,0.0
2025-10-20 16:00:00+00:00,Agusan del Norte,9.0,125.5,11.1,12.4811535,20.880001,12.0
2025-10-20 16:00:00+00:00,Agusan del Sur,8.5,125.75,17.1,6.638072,19.8,12.0
2025-10-20 16:00:00+00:00,Aklan,11.625,122.375,8.0,9.47012,38.88,18.0
2025-10-20 16:00:00+00:00,Albay,13.125,123.75,1.0,12.413477,36.0,8.0
2025-10-20 16:00:00+00:00,Antique,10.75,122.0,1.2,8.350138,13.32,1.0
2025-10-20 16:00:00+00:00,Apayao,17.625,121.5,2.6,10.144082,18.72,7.0
2025-10-20 16:00:00+00:00,Aurora,15.875,121.5,3.7,11.367109,44.28,7.0
2025-10-20 16:00:00+00:00,Basilan,6.625,122.125,1.5000001,11.113451,29.16,7.0
2025-10-20 16:00:00+00:00,Bataan,14.625,120.5,1.8000001,13.276144,42.12,5.0
2025-10-20 16:00:00+00:00,Batanes,20.5,122.0,3.5,24.387178,33.12,14.0
2025-10-20 16:00:00+00:00,Batangas,13.75,121.0,1.8000001,19.164717,28.08,5.0
2025-10-20 16:00:00+00:00,Benguet,16.5,120.75,0.8,7.628263,30.599998,3.0
2025-10-20 16:00:00+00:00,Biliran,11.625,124.375,8.1,11.988594,22.319998,11.0
2025-10-20 16:00:00+00:00,Bohol,9.625,123.875,9.900001,7.42159,16.199999,14.0
2025-10-20 16:00:00+00:00,Bukidnon,8.0,125.25,8.800001,8.225035,15.4800005,7.0
2025-10-20 16:00:00+00:00,Bulacan,15.0,120.75,0.2,13.53236,26.64,2.0
2025-10-20 16:00:00+00:00,Cagayan,17.625,121.75,2.8000002,10.239453,18.0,6.0
2025-10-20 16:00:00+00:00,Camarines Norte,14.125,122.875,1.2,12.879752,32.039997,6.0
2025-10-20 16:00:00+00:00,Camarines Sur,13.625,123.25,9.8,12.7279215,29.519999,14.0
2025-10-20 16:00:00+00:00,Camiguin,9.25,124.75,15.1,10.464797,28.08,23.0
2025-10-20 16:00:00+00:00,Capiz,11.5,122.75,16.1,9.449572,22.68,23.0
2025-10-20 16:00:00+00:00,Catanduanes,13.625,124.125,15.299999,6.638072,19.44,24.0
2025-10-20 16:00:00+00:00,Cavite,14.25,120.875,0.1,15.379206,34.56,1.0
2025-10-20 16:00:00+00:00,Cebu,10.5,123.875,14.7,8.225035,25.199999,13.0
2025-10-20 16:00:00+00:00,Cotabato,7.0,125.125,10.200001,9.255571,21.599998,12.0
2025-10-20 16:00:00+00:00,Davao Occidental,6.5,125.5,1.7000002,12.181624,27.72,10.0
2025-10-20 16:00:00+00:00,Davao Oriental,6.875,126.125,4.7999997,8.669949,12.959999,8.0
2025-10-20 16:00:00+00:00,Davao de Oro,7.625,126.0,9.100001,7.2805495,17.28,8.0
2025-10-20 16:00:00+00:00,Davao del Norte,7.5,125.75,8.0,8.350138,19.8,7.0
2025-10-20 16:00:00+00:00,Davao del Sur,6.625,125.375,2.1000001,10.948973,21.24,7.0
2025-10-20 16:00:00+00:00,Dinagat Islands,10.125,125.625,22.499998,7.8954163,19.44,21.0
2025-10-20 16:00:00+00:00,Eastern Samar,11.625,125.375,3.0,10.636766,36.719997,10.0
2025-10-20 16:00:00+00:00,Guimaras,10.625,122.625,22.8,17.84816,28.44,13.0
2025-10-20 16:00:00+00:00,Ifugao,16.875,121.25,0.0,9.1641035,22.68,0.0
2025-10-20 16:00:00+00:00,Ilocos Norte,18.125,120.625,3.1,12.181624,19.8,6.0
2025-10-20 16:00:00+00:00,Ilocos Sur,17.625,120.375,0.0,15.696165,22.319998,0.0
2025-10-20 16:00:00+00:00,Iloilo,11.0,122.625,5.2999997,15.256526,29.519999,8.0
2025-10-20 16:00:00+00:00,Isabela,17.125,121.875,2.7,7.145796,13.32,6.0
2025-10-20 16:00:00+00:00,Kalinga,17.5,121.5,3.8,7.0911775,16.56,8.0
2025-10-20 16:00:00+00:00,La Union,16.625,120.375,0.0,10.538843,14.759999,0.0
2025-10-20 16:00:00+00:00,Laguna,14.375,121.375,0.0,18.806337,29.16,0.0
2025-10-20 16:00:00+00:00,Lanao del Norte,8.25,124.25,8.799999,12.43434,19.8,16.0
2025-10-20 16:00:00+00:00,Lanao del Sur,7.875,124.375,3.9,10.446206,18.359999,8.0
2025-10-20 16:00:00+00:00,Leyte,11.25,124.875,11.699999,9.3876505,28.8,11.0
2025-10-20 16:00:00+00:00,Maguindanao del Norte,7.0,124.375,2.7,9.255571,25.199999,5.0
2025-10-20 16:00:00+00:00,Maguindanao del Sur,6.75,124.75,5.3999996,12.229406,23.039999,8.0
2025-10-20 16:00:00+00:00,Marinduque,13.375,121.875,8.1,13.479583,20.519999,15.0
2025-10-20 16:00:00+00:00,Masbate,12.0,123.75,5.4,13.392774,25.199999,6.0
2025-10-20 16:00:00+00:00,Metro Manila,14.625,121.0,1.8000001,6.849467,19.08,5.0
2025-10-20 16:00:00+00:00,Misamis Occidental,8.375,123.75,7.6,6.8399997,35.64,8.0
2025-10-20 16:00:00+00:00,Misamis Oriental,8.625,124.5,6.8999996,13.783817,22.319998,9.0
2025-10-20 16:00:00+00:00,Mountain Province,17.125,120.875,6.7000003,11.183201,27.359999,6.0
2025-10-20 16:00:00+00:00,Negros Occidental,10.625,123.0,6.6000004,16.93531,29.519999,6.0
2025-10-20 16:00:00+00:00,Negros Oriental,9.5,123.125,3.9000003,8.39657,24.84,10.0
2025-10-20 16:00:00+00:00,Northern Samar,12.5,124.625,13.800001,12.984975,30.239998,24.0
2025-10-20 16:00:00+00:00,Nueva Ecija,15.5,121.0,2.2000003,10.44,26.64,9.0
2025-10-20 16:00:00+00:00,Nueva Vizcaya,16.5,121.125,0.2,10.594036,32.039997,2.0
2025-10-20 16:00:00+00:00,Occidental Mindoro,12.375,121.125,5.0,12.261158,33.12,8.0
2025-10-20 16:00:00+00:00,Oriental Mindoro,13.375,121.125,0.5,10.239453,25.919998,4.0
2025-10-20 16:00:00+00:00,Palawan,9.75,118.625,2.0,7.928177,24.119999,5.0
2025-10-20 16:00:00+00:00,Pampanga,15.0,120.625,0.2,13.53236,26.64,2.0
2025-10-20 16:00:00+00:00,Pangasinan,16.0,120.375,6.1,13.910169,27.359999,9.0
2025-10-20 16:00:00+00:00,Quezon,13.875,121.5,0.6,13.698934,28.44,4.0
2025-10-20 16:00:00+00:00,Quirino,16.625,121.5,5.4,11.367109,24.84,9.0
2025-10-20 16:00:00+00:00,Rizal,14.5,121.25,0.2,12.303366,31.319998,2.0
2025-10-20 16:00:00+00:00,Romblon,12.375,122.0,10.999999,16.766108,24.48,17.0
2025-10-20 16:00:00+00:00,Samar,11.625,124.875,14.7,6.3690495,19.44,16.0
2025-10-20 16:00:00+00:00,Sarangani,6.125,125.25,8.3,12.599998,26.28,8.0
2025-10-20 16:00:00+00:00,Siquijor,9.25,123.5,17.6,9.504273,15.119999,15.0
2025-10-20 16:00:00+00:00,Sorsogon,12.875,124.125,9.3,11.609651,36.719997,21.0
2025-10-20 16:00:00+00:00,South Cotabato,6.5,124.875,4.4,5.506941,12.599999,8.0
2025-10-20 16:00:00+00:00,Southern Leyte,10.25,124.875,15.0,6.0347,20.880001,10.0
2025-10-20 16:00:00+00:00,Sultan Kudarat,6.625,124.75,4.3,6.193674,14.4,9.0
2025-10-20 16:00:00+00:00,Sulu,6.0,121.0,0.3,11.966954,21.24,3.0
2025-10-20 16:00:00+00:00,Surigao del Norte,9.75,125.5,12.200001,9.1641035,24.48,19.0
2025-10-20 16:00:00+00:00,Surigao del Sur,9.0,126.25,0.8,6.696387,16.56,4.0
2025-10-20 16:00:00+00:00,Tarlac,15.5,120.625,1.9000001,10.315115,20.880001,4.0
2025-10-20 16:00:00+00:00,Tawi-Tawi,5.125,119.875,0.6,12.074766,15.84,5.0
2025-10-20 16:00:00+00:00,Zambales,15.375,120.0,1.9000001,14.799459,24.48,6.0
2025-10-20 16:00:00+00:00,Zamboanga Sibugay,7.625,122.5,3.3,7.5685663,16.199999,6.0
2025-10-20 16:00:00+00:00,Zamboanga del Norte,8.5,123.375,9.1,6.725354,24.48,17.0
2025-10-20 16:00:00+00:00,Zamboanga del Sur,7.875,123.5,3.7,6.638072,15.119999,5.0
2025-10-21 16:00:00+00:00,Abra,17.625,120.625,1.3,11.200571,23.759998,2.0
2025-10-21 16:00:00+00:00,Agusan del Norte,9.0,125.5,11.9,13.039754,26.28,17.0
2025-10-21 16:00:00+00:00,Agusan del Sur,8.5,125.75,6.9999995,10.182337,23.4,8.0
2025-10-21 16:00:00+00:00,Aklan,11.625,122.375,5.1,11.304229,40.32,11.0
2025-10-21 16:00:00+00:00,Albay,13.125,123.75,1.1,11.119281,32.399998,6.0
2025-10-21 16:00:00+00:00,Antique,10.75,122.0,8.700001,11.165805,26.28,18.0
2025-10-21 16:00:00+00:00,Apayao,17.625,121.5,0.2,14.578888,26.28,2.0
2025-10-21 16:00:00+00:00,Aurora,15.875,121.5,1.0,10.365251,39.6,5.0
