Year,Province,Population,PopulationDensity
2011,Occidental Mindoro,459860,78
2011,Oriental Mindoro,797293,188
2011,Palawan,787227,54
2011,Pampanga,2050837,1024
2011,Pangasinan,2815235,516
2011,Quezon,1763827,202
2011,Quirino,179227,77
2011,Rizal,2564717,2169
2011,Romblon,285700,186
2011,Samar,742798,123
2011,Sarangani,507975,139
2011,Siquijor,92050,273
2011,Sorsogon,751184,355
2011,South Cotabato,844818,223
2011,Southern Leyte,403660,224
2011,Sultan Kudarat,760089,141
2011,Sulu,739578,163
2011,Surigao del Norte,451088,231
2011,Surigao del Sur,567425,115
2011,Tarlac,1291797,424
2011,Tawi-Tawi,371383,102
2011,Zambales,545724,150
2011,Zamboanga Sibugay,594374,171
2011,Zamboanga del Norte,968676,133
2011,Zamboanga del Sur,969883,216
2012,Abra,237304,56
2012,Agusan del Norte,341293,131
2012,Agusan del Sur,674112,68
2012,Aklan,551364,313
2012,Albay,1265990,492
2012,Antique,560423,205
2012,Apayao,115255,25
2012,Aurora,206474,66
2012,Basilan,314625,91
2012,Bataan,716749,522
2012,Batanes,16861,83
2012,Batangas,2504171,804
2012,Benguet,420856,152
2012,Biliran,165701,309
2012,Bohol,1278501,268
2012,Bukidnon,1345606,128
2012,Bulacan,3071488,1104
2012,Cagayan,1154592,123
2012,Camarines Norte,559074,245
2012,Camarines Sur,1874440,340
2012,Camiguin,85675,355
2012,Capiz,736365,283
2012,Catanduanes,252166,169
2012,Cavite,3325735,2179
2012,Cebu,2747210,556
2012,Cotabato,1287804,138
2012,Davao Occidental,302805,140
2012,Davao Oriental,534154,94
2012,Davao de Oro,783775,175
2012,Davao del Norte,973991,284
2012,Davao del Sur,597981,276
2012,Dinagat Islands,126943,155
2012,Eastern Samar,444190,96
2012,Guimaras,167611,274
2012,Ifugao,195768,75
2012,Ilocos Norte,578043,169
2012,Ilocos Sur,671019,259
2012,Iloilo,1857915,371
2012,Isabela,1531213,117
2012,Kalinga,206040,63
2012,La Union,759805,507
2012,Laguna,2815941,1461
2012,Lanao del Norte,635308,189
2012,Lanao del Sur,978128,65
2012,Leyte,1630662,257
2012,Maguindanao,1036404,104
2012,Maguindanao del Norte,1124811,282
2012,Maguindanao del Sur,813243,164
2012,Marinduque,230505,242
2012,Masbate,857747,208
2012,Metro Manila,12264486,19796
2012,Misamis Occidental,581436,290
2012,Misamis Oriental,843717,270
2012,Mountain Province,154348,65
2012,Negros Occidental,3305264,415
2012,Negros Oriental,1492038,277
