Year,Province,Population,PopulationDensity
2020,Samar,793183,131
2020,Sarangani,558946,153
2020,Siquijor,103395,306
2020,Sorsogon,828655,391
2020,South Cotabato,975476,257
2020,Southern Leyte,429573,238
2020,Sultan Kudarat,854052,159
2020,Sulu,1000108,220
2020,Surigao del Norte,534636,274
2020,Surigao del Sur,642255,130
2020,Tarlac,1503456,494
2020,Tawi-Tawi,440276,121
2020,Zambales,649615,179
2020,Zamboanga Sibugay,669840,192
2020,Zamboanga del Norte,1047455,143
2020,Zamboanga del Sur,1050668,234
2021,Abra,249976,60
2021,Agusan del Norte,488035,167
2021,Agusan del Sur,739658,74
2021,Aklan,620212,350
2021,Albay,1375926,534
2021,Antique,620524,227
2021,Apayao,124921,28
2021,Aurora,237018,76
2021,Basilan,492966,223
2021,Bataan,862890,629
2021,Batanes,18858,91
2021,Batangas,2930069,940
2021,Benguet,555916,199
2021,Biliran,180508,337
2021,Bohol,1398928,292
2021,Bukidnon,1556456,148
2021,Bulacan,3750869,1346
2021,Cagayan,1272621,136
2021,Camarines Norte,623441,272
2021,Camarines Sur,2067012,375
2021,Camiguin,93329,388
2021,Capiz,812488,313
2021,Catanduanes,269202,180
2021,Cavite,4402093,2862
2021,Cebu,3801076,750
2021,Cotabato,1439499,156
2021,Davao Occidental,317269,147
2021,Davao Oriental,579768,101
2021,Davao de Oro,783775,175
2021,Davao del Norte,1129776,330
2021,Davao del Sur,1148880,374
2021,Dinagat Islands,126221,147
2021,Eastern Samar,476047,102
2021,Guimaras,189100,310
2021,Ifugao,207790,79
2021,Ilocos Norte,611904,178
2021,Ilocos Sur,707004,272
2021,Iloilo,2178010,434
2021,Isabela,1706050,132
2021,Kalinga,231025,71
2021,La Union,823032,549
2021,Laguna,3458481,1796
2021,Lanao del Norte,824641,230
2021,Lanao del Sur,1238673,148
2021,Leyte,1853338,290
2021,Maguindanao,1342179,135
2021,Maguindanao del Norte,1124811,282
2021,Maguindanao del Sur,813243,164
2021,Marinduque,236036,248
2021,Masbate,909393,220
2021,Metro Manila,13613784,21828
2021,Misamis Occidental,618498,307
2021,Misamis Oriental,1150096,352
2021,Mountain Province,156094,67
2021,Negros Occidental,3305264,415
2021,Negros Oriental,1492038,277
2021,Northern Samar,640837,174
2021,Nueva Ecija,2331554,409
2021,Nueva Vizcaya,505600,110
2021,Occidental Mindoro,521870,89
2021,Oriental Mindoro,911130,215
2021,Palawan,1025990,67
2021,Pampanga,2595756,1286
2021,Pangasinan,3169528,581
2021,Quezon,2028012,230
2021,Quirino,205581,89
2021,Rizal,3351742,2828
2021,Romblon,308985,201
2021,Samar,793183,131
2021,Sarangani,558946,154
2021,Siquijor,103395,306
2021,Sorsogon,828655,391
2021,South Cotabato,1149805,287
2021,Southern Leyte,429573,238
2021,Sultan Kudarat,854052,160
2021,Sulu,1000108,321
2021,Surigao del Norte,534636,273
2021,Surigao del Sur,642255,130
2021,Tarlac,1503456,494
2021,Tawi-Tawi,440276,192
2021,Zambales,714694,194
2021,Zamboanga Sibugay,669840,190
2021,Zamboanga del Norte,1047455,143
2021,Zamboanga del Sur,1294976,261
2022,Abra,248966,60
2022,Agusan del Norte,588566,186
2022,Agusan del Sur,739949,74
2022,Aklan,624948,349
2022,Albay,1377083,535
2022,Antique,628074,230
2022,Apayao,125476,28
2022,Aurora,238287,76
2022,Basilan,559726,322
2022,Bataan,872406,636
2022,Batanes,18884,90
2022,Batangas,2951644,947
2022,Benguet,651150,232
2022,Biliran,181704,339
2022,Bohol,1403528,292
2022,Bukidnon,1571605,150
2022,Bulacan,3792848,1360
2022,Cagayan,1276640,136
2022,Camarines Norte,617182,268
2022,Camarines Sur,2065779,375
2022,Camiguin,93850,392
2022,Capiz,820025,316
2022,Catanduanes,266524,178
2022,Cavite,4459356,2876
2022,Cebu,4276767,826
2022,Cotabato,1388380,151
2022,Davao Occidental,317378,147
2022,Davao Oriental,583192,101
2022,Davao de Oro,783775,175
2022,Davao del Norte,1134494,332
2022,Davao del Sur,1617278,434
2022,Dinagat Islands,124325,136
2022,Eastern Samar,474926,102
2022,Guimaras,190358,313
2022,Ifugao,208083,79
2022,Ilocos Norte,614219,178
2022,Ilocos Sur,708000,272
2022,Iloilo,2304122,457
2022,Isabela,1715049,135
2022,Kalinga,232480,72
2022,La Union,823712,550
2022,Laguna,3534769,1838
2022,Lanao del Norte,926380,244
2022,Lanao del Sur,1281828,216
2022,Leyte,1929829,300
2022,Maguindanao,1342179,135
2022,Maguindanao del Norte,1124811,282
2022,Maguindanao del Sur,813243,164
2022,Marinduque,232864,244
2022,Masbate,909866,220
2022,Metro Manila,13743106,21890
2022,Misamis Occidental,619663,306
2022,Misamis Oriental,1343291,397
2022,Mountain Province,153988,68
2022,Negros Occidental,3305264,415
2022,Negros Oriental,1492038,277
2022,Northern Samar,642488,174
2022,Nueva Ecija,2352975,412
2022,Nueva Vizcaya,513769,118
2022,Occidental Mindoro,518386,88
2022,Oriental Mindoro,913922,216
2022,Palawan,1112386,70
2022,Pampanga,2753804,1353
2022,Pangasinan,3175865,582
2022,Quezon,2105564,236
2022,Quirino,207334,90
2022,Rizal,3373342,2841
2022,Romblon,308985,201
2022,Samar,793183,131
2022,Sarangani,558946,154
2022,Siquijor,103395,306
2022,Sorsogon,828655,391
2022,South Cotabato,1324134,318
2022,Southern Leyte,429573,238
2022,Sultan Kudarat,854052,160
2022,Sulu,1000108,422
2022,Surigao del Norte,534636,272
2022,Surigao del Sur,642255,130
2022,Tarlac,1503456,493
2022,Tawi-Tawi,440276,263
2022,Zambales,779774,208
2022,Zamboanga Sibugay,669840,189
2022,Zamboanga del Norte,1047455,143
2022,Zamboanga del Sur,1539285,288
2023,Abra,247957,59
2023,Agusan del Norte,689098,204
2023,Agusan del Sur,740240,74
2023,Aklan,629685,348
2023,Albay,1378240,536
2023,Antique,635623,233
2023,Apayao,126032,29
2023,Aurora,239556,76
2023,Basilan,626485,422
2023,Bataan,881923,642
2023,Batanes,18910,88
2023,Batangas,2973220,954
2023,Benguet,746383,265
2023,Biliran,182899,341
2023,Bohol,1408127,293
2023,Bukidnon,1586754,152
2023,Bulacan,3834827,1373
2023,Cagayan,1280658,137
2023,Camarines Norte,610924,265
2023,Camarines Sur,2064546,375
2023,Camiguin,94371,395
2023,Capiz,827562,319
2023,Catanduanes,263846,177
2023,Cavite,4516620,2891
2023,Cebu,4752458,902
2023,Cotabato,1337261,146
2023,Davao Occidental,317488,147
2023,Davao Oriental,586617,101
2023,Davao de Oro,783775,175
2023,Davao del Norte,1139212,333
2023,Davao del Sur,2085677,494
2023,Dinagat Islands,122429,126
2023,Eastern Samar,473804,102
2023,Guimaras,191616,316
2023,Ifugao,208376,79
2023,Ilocos Norte,616534,178
2023,Ilocos Sur,708996,273
2023,Iloilo,2430233,480
2023,Isabela,1724048,138
2023,Kalinga,233936,72
2023,La Union,824392,550
2023,Laguna,3611057,1881
2023,Lanao del Norte,1028118,258
2023,Lanao del Sur,1324982,284
2023,Leyte,2006320,310
2023,Maguindanao,1342179,135
2023,Maguindanao del Norte,1124811,282
2023,Maguindanao del Sur,813243,164
2023,Marinduque,229693,241
2023,Masbate,910340,219
2023,Metro Manila,13872429,21952
2023,Misamis Occidental,620828,304
2023,Misamis Oriental,1536486,442
2023,Mountain Province,151881,68
2023,Negros Occidental,3305264,415
2023,Negros Oriental,1492038,277
2023,Northern Samar,644138,174
2023,Nueva Ecija,2374396,414
2023,Nueva Vizcaya,521938,126
2023,Occidental Mindoro,514901,88
2023,Oriental Mindoro,916713,216
2023,Palawan,1198783,72
2023,Pampanga,2911851,1420
2023,Pangasinan,3182202,584
2023,Quezon,2183116,242
2023,Quirino,209088,90
2023,Rizal,3394942,2854
2023,Romblon,308985,201
2023,Samar,793183,131
2023,Sarangani,558946,154
2023,Siquijor,103395,306
2023,Sorsogon,828655,391
2023,South Cotabato,1498462,348
2023,Southern Leyte,429573,239
2023,Sultan Kudarat,854052,160
2023,Sulu,1000108,524
2023,Surigao del Norte,534636,272
2023,Surigao del Sur,642255,130
2023,Tarlac,1503456,492
2023,Tawi-Tawi,440276,334
2023,Zambales,844853,223
2023,Zamboanga Sibugay,669840,188
2023,Zamboanga del Norte,1047455,143
2023,Zamboanga del Sur,1783594,316
2024,Abra,246948,59
2024,Agusan del Norte,789630,223
2024,Agusan del Sur,740531,74
2024,Aklan,634422,348
2024,Albay,1379398,536
2024,Antique,643173,236
2024,Apayao,126587,29
2024,Aurora,240824,77
2024,Basilan,693244,522
2024,Bataan,891440,649
2024,Batanes,18937,86
2024,Batangas,2994795,960
2024,Benguet,841616,298
2024,Biliran,184095,343
2024,Bohol,1412726,293
2024,Bukidnon,1601902,153
2024,Bulacan,3876806,1387
2024,Cagayan,1284676,138
2024,Camarines Norte,604666,261
2024,Camarines Sur,2063314,375
2024,Camiguin,94892,399
2024,Capiz,835098,322
2024,Catanduanes,261169,175
2024,Cavite,4573884,2906
2024,Cebu,5228149,979
2024,Cotabato,1286142,142
2024,Davao Occidental,317598,147
2024,Davao Oriental,590042,101
2024,Davao de Oro,783775,175
2024,Davao del Norte,1143931,334
2024,Davao del Sur,2554076,554
2024,Dinagat Islands,120533,116
2024,Eastern Samar,472683,101
2024,Guimaras,192874,319
2024,Ifugao,208668,79
2024,Ilocos Norte,618850,178
2024,Ilocos Sur,709991,273
2024,Iloilo,2556344,503
2024,Isabela,1733048,140
2024,Kalinga,235391,73
2024,La Union,825072,551
2024,Laguna,3687345,1923
2024,Lanao del Norte,1129857,272
2024,Lanao del Sur,1368137,353
2024,Leyte,2082811,320
2024,Maguindanao,1342179,135
2024,Maguindanao del Norte,1124811,282
2024,Maguindanao del Sur,813243,164
2024,Marinduque,226522,238
2024,Masbate,910813,219
2024,Metro Manila,14001751,22015
2024,Misamis Occidental,621993,303
2024,Misamis Oriental,1729682,488
2024,Mountain Province,149775,69
2024,Negros Occidental,3305264,415
2024,Negros Oriental,1492038,277
2024,Northern Samar,645789,175
2024,Nueva Ecija,2395816,417
2024,Nueva Vizcaya,530106,133
2024,Occidental Mindoro,511417,87
2024,Oriental Mindoro,919504,217
2024,Palawan,1285179,75
2024,Pampanga,3069898,1488
2024,Pangasinan,3188540,585
2024,Quezon,2260669,249
2024,Quirino,210841,91
2024,Rizal,3416541,2866
2024,Romblon,308985,201
2024,Samar,793183,131
2024,Sarangani,558946,155
2024,Siquijor,103395,306
2024,Sorsogon,828655,391
2024,South Cotabato,1672791,378
2024,Southern Leyte,429573,239
2024,Sultan Kudarat,854052,161
2024,Sulu,1000108,625
2024,Surigao del Norte,534636,271
2024,Surigao del Sur,642255,130
2024,Tarlac,1503456,492
2024,Tawi-Tawi,440276,405
2024,Zambales,909932,238
2024,Zamboanga Sibugay,669840,186
2024,Zamboanga del Norte,1047455,143
2024,Zamboanga del Sur,2027902,343
2025,Abra,246948,59
2025,Agusan del Norte,789630,223
2025,Agusan del Sur,740531,74
2025,Aklan,634422,348
2025,Albay,1379398,536
2025,Antique,643173,236
2025,Apayao,126587,29
2025,Aurora,240824,77
2025,Basilan,693244,522
2025,Bataan,891440,649
2025,Batanes,18937,86
2025,Batangas,2994795,960
2025,Benguet,841616,298
2025,Biliran,184095,343
2025,Bohol,1412726,293
2025,Bukidnon,1601902,153
2025,Bulacan,3876806,1387
2025,Cagayan,1284676,138
2025,Camarines Norte,604666,261
2025,Camarines Sur,2063314,375
2025,Camiguin,94892,399
2025,Capiz,835098,322
2025,Catanduanes,261169,175
2025,Cavite,4573884,2906
2025,Cebu,5228149,979
2025,Cotabato,1286142,142
2025,Davao Occidental,317598,147
2025,Davao Oriental,590042,101
2025,Davao de Oro,783775,175
2025,Davao del Norte,1143931,334
2025,Davao del Sur,2554076,554
2025,Dinagat Islands,120533,116
2025,Eastern Samar,472683,101
2025,Guimaras,192874,319
2025,Ifugao,208668,79
2025,Ilocos Norte,618850,178
2025,Ilocos Sur,709991,273
2025,Iloilo,2556344,503
2025,Isabela,1733048,140
2025,Kalinga,235391,73
2025,La Union,825072,551
2025,Laguna,3687345,1923
2025,Lanao del Norte,1129857,272
2025,Lanao del Sur,1368137,353
2025,Leyte,2082811,320
2025,Maguindanao,1342179,135
2025,Maguindanao del Norte,1124811,282
2025,Maguindanao del Sur,813243,164
2025,Marinduque,226522,238
2025,Masbate,910813,219
2025,Metro Manila,14001751,22015
2025,Misamis Occidental,621993,303
2025,Misamis Oriental,1729682,488
2025,Mountain Province,149775,69
2025,Negros Occidental,3305264,415
2025,Negros Oriental,1492038,277
2025,Northern Samar,645789,175
2025,Nueva Ecija,2395816,417
2025,Nueva Vizcaya,530106,133
2025,Occidental Mindoro,511417,87
2025,Oriental Mindoro,919504,217
2025,Palawan,1285179,75
2025,Pampanga,3069898,1488
2025,Pangasinan,3188540,585
2025,Quezon,2260669,249
2025,Quirino,210841,91
2025,Rizal,3416541,2866
2025,Romblon,308985,201
2025,Samar,793183,131
2025,Sarangani,558946,155
2025,Siquijor,103395,306
2025,Sorsogon,828655,391
2025,South Cotabato,1672791,378
2025,Southern Leyte,429573,239
2025,Sultan Kudarat,854052,161
2025,Sulu,1000108,625
2025,Surigao del Norte,534636,271
2025,Surigao del Sur,642255,130
2025,Tarlac,1503456,492
2025,Tawi-Tawi,440276,405
2025,Zambales,909932,238
2025,Zamboanga Sibugay,669840,186
2025,Zamboanga del Norte,1047455,143
2025,Zamboanga del Sur,2027902,343
