Year,Storm,Province,Affected
2021,Jolina,Aklan,9869.0
2021,Jolina,Albay,12938.0
2021,Jolina,Antique,2990.0
2021,Jolina,Aurora,0.0
2021,Jolina,Bataan,0.0
2021,Jolina,Batangas,44033.0
2021,Jolina,Biliran,3339.0
2021,Jolina,Bulacan,7464.0
2021,Jolina,Camarines Norte,17.0
2021,Jolina,Camarines Sur,1419.0
2021,Jolina,Capiz,796.0
2021,Jolina,Cavite,5062.0
2021,Jolina,Eastern Samar,188153.0
2021,Jolina,Iloilo,0.0
2021,Jolina,Laguna,7890.0
2021,Jolina,Leyte,8946.0
2021,Jolina,Marinduque,12884.0
2021,Jolina,Masbate,31168.0
2021,Jolina,Negros Occidental,1525.0
2021,Jolina,Northern Samar,0.0
2021,Jolina,Nueva Ecija,0.0
2021,Jolina,Occidental Mindoro,0.0
2021,Jolina,Oriental Mindoro,433.0
2021,Jolina,Pampanga,18.0
2021,Jolina,Quezon,31303.0
2021,Jolina,Rizal,210.0
2021,Jolina,Romblon,574.0
2021,Jolina,Samar,94339.0
2021,Jolina,Sorsogon,186.0
2021,Jolina,South Cotabato,170.0
2021,Jolina,Southern Leyte,0.0
