Year,Storm,Province,Damage to Infrastructure (PhP)
2025,Bising,Bataan,0.0
2025,Bising,Benguet,12400000.0
2025,Bising,Ilocos Sur,0.0
2025,Bising,Nueva Ecija,0.0
2025,Bising,Pampanga,0.0
2025,Bising,Zambales,0.0
