Year,Storm,Province,Affected
2024,Butchoy,Agusan del Sur,24.0
2024,Butchoy,Aklan,2624.0
2024,Butchoy,Antique,1780.0
2024,Butchoy,Basilan,16.0
2024,Butchoy,Bukidnon,11677.0
2024,Butchoy,Capiz,2072.0
2024,Butchoy,Cebu,0.0
2024,Butchoy,Cotabato,113559.0
2024,Butchoy,Davao Occidental,722.0
2024,Butchoy,Iloilo,57.0
2024,Butchoy,La Union,65.0
2024,Butchoy,Lanao del Norte,65.0
2024,Butchoy,Lanao del Sur,59395.0
2024,Butchoy,Maguindanao del Norte,43605.0
2024,Butchoy,Maguindanao del Sur,259065.0
2024,Butchoy,Misamis Oriental,0.0
2024,Butchoy,Negros Occidental,108.0
2024,Butchoy,Negros Oriental,62.0
2024,Butchoy,Oriental Mindoro,36459.0
2024,Butchoy,Romblon,130.0
2024,Butchoy,Sarangani,222.0
2024,Butchoy,South Cotabato,1955.0
2024,Butchoy,Sultan Kudarat,101779.0
2024,Butchoy,Surigao del Norte,78.0
2024,Butchoy,Zamboanga del Norte,1914.0
2024,Butchoy,Zamboanga del Sur,11400.0
