Year,Storm,Province,Damage to Infrastructure (PhP)
2021,Jolina,Aklan,0.0
2021,Jolina,Albay,36800000.0
2021,Jolina,Antique,0.0
2021,Jolina,Aurora,0.0
2021,Jolina,Bataan,0.0
2021,Jolina,Batangas,37650999.5
2021,Jolina,Biliran,0.0
2021,Jolina,Bulacan,0.0
2021,Jolina,Camarines Norte,18000000.0
2021,Jolina,Camarines Sur,0.0
2021,Jolina,Capiz,0.0
2021,Jolina,Cavite,612000000.0
2021,Jolina,Eastern Samar,0.0
2021,Jolina,Iloilo,0.0
2021,Jolina,Laguna,0.0
2021,Jolina,Leyte,0.0
2021,Jolina,Marinduque,12005800.0
2021,Jolina,Masbate,566705253.0
2021,Jolina,Negros Occidental,0.0
2021,Jolina,Northern Samar,0.0
2021,Jolina,Nueva Ecija,0.0
2021,Jolina,Occidental Mindoro,0.0
2021,Jolina,Oriental Mindoro,0.0
2021,Jolina,Pampanga,0.0
2021,Jolina,Quezon,29945000.0
2021,Jolina,Rizal,297150000.0
2021,Jolina,Romblon,1390000.0
2021,Jolina,Samar,0.0
2021,Jolina,Sorsogon,2000000.0
2021,Jolina,South Cotabato,0.0
2021,Jolina,Southern Leyte,0.0
