Year,Intl_Name,PH_Name,Province,Deaths,Affected,Houses destroyed,Houses damaged,Total Houses,Damage to Infrastructure (PhP),Damage to Agriculture + Fisheries (PhP),Category
2010,Megi,Juan,Bulacan,0,120,0,0,0,0,579592911,Violent typhoon
2010,Megi,Juan,Nueva Ecija,1,27247,4,22,26,17700000,1587045618,Violent typhoon
2010,Megi,Juan,Pampanga,0,100664,13,10,23,150000,113428605,Violent typhoon
2010,Megi,Juan,Tarlac,2,74621,13,117,130,6600000,645425917,Violent typhoon
2010,Megi,Juan,Zambales,5,12266,43,388,431,11568750,80854150,Violent typhoon
2010,Megi,Juan,Cavite,0,372,0,0,0,0,0,Violent typhoon
2010,Megi,Juan,Rizal,0,411,0,0,0,0,0,Violent typhoon
2010,Megi,Juan,Abra,0,8726,3,209,212,25425000,118312579,Violent typhoon
2010,Megi,Juan,Apayao,0,35461,58,1089,1147,19050000,309963089,Violent typhoon
2010,Megi,Juan,Benguet,2,30222,20,284,304,22080094,56457746,Violent typhoon
2010,Megi,Juan,Ifugao,2,5797,69,322,391,9364900,381895213,Violent typhoon
2010,Megi,Juan,Kalinga,1,214637,1778,12753,14531,13170000,442055166,Violent typhoon
2010,Megi,Juan,Mountain Province,0,25077,158,1079,1237,19750000,117570528,Violent typhoon
2011,Aere,Bebeng,Metro Manila,1,535,0,0,0,0,0,Tropical storm
2011,Aere,Bebeng,Bulacan,1,465,4,37,41,0,0,Tropical storm
2011,Aere,Bebeng,Catanduanes,2,0,0,0,0,1469000,14718889,Tropical storm
2011,Aere,Bebeng,Camarines Sur,16,196904,12,1080,1092,330800000,534194064,Tropical storm
2011,Aere,Bebeng,Albay,6,85077,0,0,0,280897990,310771168,Tropical storm
2011,Aere,Bebeng,Sorsogon,1,29781,0,6596,6596,15150000,106982688,Tropical storm
2011,Aere,Bebeng,Masbate,2,6932,0,11,11,30670000,35476650,Tropical storm
2011,Aere,Bebeng,Negros Oriental,1,0,0,0,0,200000,0,Tropical storm
2011,Aere,Bebeng,Leyte,1,6860,1,4,5,23500000,0,Tropical storm
2011,Aere,Bebeng,Northern Samar,3,66366,9,1364,1373,28060000,0,Tropical storm
2011,Aere,Bebeng,Samar,1,3020,18,129,147,0,0,Tropical storm
