Year,Storm,Province,Affected
2010,Basyang,Aurora,187
2010,Basyang,Bataan,68692
2010,Basyang,Batangas,11605
2010,Basyang,Bulacan,189
2010,Basyang,Camarines Norte,52561
2010,Basyang,Camarines Sur,14845
2010,Basyang,Catanduanes,12885
2010,Basyang,Cavite,247537
2010,Basyang,Laguna,87977
2010,Basyang,Metro Manila,2802
2010,Basyang,Pampanga,221
2010,Basyang,Quezon,19204
2010,Basyang,Rizal,66678
2010,Juan,Abra,8726
2010,Juan,Apayao,35461
2010,Juan,Aurora,2394
2010,Juan,Bataan,20560
2010,Juan,Benguet,30222
2010,Juan,Bulacan,120
2010,Juan,Cagayan,158267
2010,Juan,Cavite,372
2010,Juan,Ifugao,5797
2010,Juan,Ilocos Norte,7982
2010,Juan,Ilocos Sur,8771
2010,Juan,Isabela,710460
2010,Juan,Kalinga,214637
2010,Juan,La Union,57543
2010,Juan,Metro Manila,877
2010,Juan,Mountain Province,25077
2010,Juan,Nueva Ecija,27247
2010,Juan,Nueva Vizcaya,6975
2010,Juan,Pampanga,100664
2010,Juan,Pangasinan,482392
2010,Juan,Quirino,17142
2010,Juan,Rizal,411
2010,Juan,Tarlac,74621
2010,Juan,Zambales,12266
2011,Bebeng,Albay,85077
2011,Bebeng,Bulacan,465
2011,Bebeng,Camarines Norte,21275
2011,Bebeng,Camarines Sur,196904
2011,Bebeng,Cebu,39
2011,Bebeng,Eastern Samar,14250
2011,Bebeng,Leyte,6860
2011,Bebeng,Masbate,6932
2011,Bebeng,Metro Manila,535
2011,Bebeng,Northern Samar,66366
2011,Bebeng,Rizal,45
2011,Bebeng,Samar,3020
2011,Bebeng,Sorsogon,29781
2011,Bebeng,Zambales,288
2011,Chedeng,Albay,223110
2011,Chedeng,Bukidnon,596
2011,Chedeng,Camarines Norte,2710
2011,Chedeng,Camarines Sur,146697
2011,Chedeng,Catanduanes,13349
2011,Chedeng,Davao Oriental,40
2011,Chedeng,Davao del Norte,48015
2011,Chedeng,Isabela,126
2011,Chedeng,Metro Manila,2725
2011,Chedeng,Sorsogon,1281
2011,Chedeng,Zamboanga del Sur,8258
2011,Dodong,Batangas,1086
2011,Dodong,Cavite,40
2011,Dodong,Metro Manila,25
2011,Egay,Zambales,2478
2011,Falcon,Albay,107253
2011,Falcon,Bataan,190134
2011,Falcon,Batangas,4512
2011,Falcon,Bulacan,511207
2011,Falcon,Camarines Sur,2820
2011,Falcon,Cavite,8870
2011,Falcon,Metro Manila,72687
2011,Falcon,Nueva Ecija,40085
2011,Falcon,Pampanga,592172
2011,Falcon,Pangasinan,78580
2011,Falcon,Rizal,91042
2011,Falcon,Tarlac,67100
2011,Falcon,Zambales,25914
2011,Juaning,Albay,557448
2011,Juaning,Aurora,6848
