Year,Storm,Province,close_approach_rainfall,distant_rainfall,intensity_per_km,min_distance_x_max_wind,proximity_intensity_product,rainfall_distance_ratio
2010,Agaton,Abra,0.06,0.24,0.04590353457216205,63470.520000000004,3.9087406221542034e-05,0.2
2010,Agaton,Agusan del Norte,9.119998980000002,36.47999592000001,0.03342445762624439,31374.5380633,3.455252632051518e-05,0.2
2010,Agaton,Agusan del Sur,4.93999962,19.75999848,0.0397810789679437,36566.82,4.155757881636179e-05,0.2
2010,Agaton,Aklan,2.96000014,11.84000056,0.04108407048632328,50833.321464479995,3.69846278648759e-05,0.2
2010,Agaton,Albay,2.2000001680000003,8.800000672000001,0.0638006349620545,53911.659525040006,6.951912719375292e-05,0.19999999999999998
2010,Agaton,Antique,1.46,5.84,0.03399149377073289,48643.9236,2.8450200645945737e-05,0.2
2010,Agaton,Apayao,4.1399998,16.5599992,0.0340190448498946,41167.526399999995,3.0966891726536634e-05,0.2
2010,Agaton,Aurora,2.0800000080000003,8.320000032000001,0.042377289277012786,50845.76279999999,3.874063515229122e-05,0.20000000000000004
2010,Agaton,Basilan,5.099999820000001,20.399999280000003,0.016836637837762375,34529.949368409994,1.1769005380558741e-05,0.20000000000000004
2010,Agaton,Bataan,0.020000000000000004,0.08000000000000002,0.035300748506663836,52823.66033169,2.8893082402474996e-05,0.20000000000000004
2010,Agaton,Batanes,0.6200000000000001,2.4800000000000004,0.07374177402910372,85757.72400000002,6.847585392578671e-05,0.20000000000000004
2010,Agaton,Batangas,0.4,1.6,0.037996487435828154,53249.399999999994,3.213718212050495e-05,0.2
2010,Agaton,Benguet,1.1200000200000002,4.480000080000001,0.027835675384925703,39374.38079999999,2.343382610035687e-05,0.2
2010,Agaton,Biliran,4.58,18.32,0.04306456172697242,35715.85377962,4.736574067290351e-05,0.2
2010,Agaton,Bohol,1.4400000200000003,5.760000080000001,0.0462707696892929,53290.7424,4.3175844714265826e-05,0.2
2010,Agaton,Bukidnon,6.4999996200000005,25.999998480000002,0.036397650026929726,40727.57802806999,3.445729464773286e-05,0.2
2010,Agaton,Bulacan,0.1,0.4,0.04405219883834955,62658.35280000001,3.6983483620003034e-05,0.2
2010,Agaton,Cagayan,3.3400001400000003,13.360000560000001,0.039064341048698326,43833.903882419996,3.693008192126162e-05,0.2
2010,Agaton,Camarines Norte,2.9000002080000002,11.600000832000001,0.05647724504234768,53662.238851480004,5.802881659639925e-05,0.2
2010,Agaton,Camarines Sur,1.00000002,4.00000008,0.050737820924093104,45816.90290046,5.347735323773925e-05,0.2
2010,Agaton,Camiguin,4.9199998,19.6799992,0.04198435484819381,43670.23512248,4.12265304129735e-05,0.2
2010,Agaton,Capiz,3.4600000600000005,13.840000240000002,0.033025686645168466,38425.6224,3.065991108411063e-05,0.2
2010,Agaton,Catanduanes,3.4600000800000004,13.840000320000001,0.05569424070883583,40497.96704331,6.54277778554679e-05,0.2
2010,Agaton,Cavite,0.52,2.08,0.04364657725528232,62377.430415090006,3.655578961252456e-05,0.2
2010,Agaton,Cebu,3.3400000399999996,13.360000159999998,0.04791267426273458,52211.732869800006,4.596372433168336e-05,0.2
2010,Agaton,Cotabato,17.49999974,69.99999896,0.0249104397866321,32441.223600000005,2.1857173000970917e-05,0.2
2010,Agaton,Davao Occidental,6.93999972,27.75999888,0.03331325458973888,43673.738399999995,2.9132920903819484e-05,0.2
2010,Agaton,Davao Oriental,12.560000299999999,50.240001199999995,0.03003213666138956,33386.601599999995,2.8524017761697342e-05,0.2
2010,Agaton,Davao de Oro,5.400000080000001,21.600000320000003,0.031235678284182306,32832.98692575,3.0510982949046523e-05,0.2
2010,Agaton,Davao del Norte,4.0800001,16.3200004,0.039406051779935274,43453.437900799996,3.757961113923632e-05,0.2
2010,Agaton,Davao del Sur,14.36000029,57.44000116,0.026529106572621676,34439.72892224001,2.3314466961140075e-05,0.2
2010,Agaton,Dinagat Islands,4.6600001,18.6400004,0.05723305896944413,44968.284,6.467726649254687e-05,0.2
2010,Agaton,Eastern Samar,9.360000820000002,37.440003280000006,0.05120219963462033,34017.28002918,6.293347424177728e-05,0.19999999999999998
2010,Agaton,Guimaras,0.56000002,2.24000008,0.04797054177259577,62364.380580900004,4.212739783106557e-05,0.2
2010,Agaton,Ifugao,2.22000002,8.88000008,0.033792938551048056,43053.256799999996,2.997869596730821e-05,0.19999999999999998
2010,Agaton,Ilocos Norte,1.56,6.24,0.06248570787506244,87089.16009964999,5.299568145508714e-05,0.2
2010,Agaton,Ilocos Sur,0.06,0.24,0.04494232401751086,64829.159999999996,3.746624677276262e-05,0.2
2010,Agaton,Iloilo,1.120000008,4.480000032,0.044278455102077466,54886.25519999999,3.9823704060147336e-05,0.2
2010,Agaton,Isabela,1.12000006,4.48000024,0.03517072649777309,38300.79287085,3.375141484860298e-05,0.2
2010,Agaton,Kalinga,4.1399998,16.5599992,0.03442916915720263,40676.688,3.171874413487306e-05,0.2
2010,Agaton,La Union,0.260000008,1.040000032,0.03261084392911259,48047.472,2.689949817317846e-05,0.2
2010,Agaton,Laguna,2.86000025,11.440001,0.05420445540195474,69852.13200000001,4.781191779466147e-05,0.2
2010,Agaton,Lanao del Norte,4.340000000000001,17.360000000000003,0.029629629629629627,37797.246,2.626852531992301e-05,0.2
2010,Agaton,Lanao del Sur,11.059999820000002,44.239999280000006,0.029659230823166453,38576.24184016,2.6040585425623615e-05,0.20000000000000004
2010,Agaton,Leyte,8.340000620000001,33.360002480000006,0.04440535879484222,34003.2816,5.083192266587547e-05,0.2
