Year,Storm,Province,Affected
2024,Ferdie,Aklan,7.0
2024,Ferdie,Albay,23391.0
2024,Ferdie,Antique,8458.0
2024,Ferdie,Camarines Sur,22606.0
2024,Ferdie,Camiguin,113.0
2024,Ferdie,Cotabato,725.0
2024,Ferdie,Davao Occidental,14.0
2024,Ferdie,Davao Oriental,0.0
2024,Ferdie,Iloilo,21.0
2024,Ferdie,Isabela,38.0
2024,Ferdie,Lanao del Norte,190.0
2024,Ferdie,Maguindanao del Norte,2620.0
2024,Ferdie,Maguindanao del Sur,62340.0
2024,Ferdie,Misamis Oriental,88.0
2024,Ferdie,Negros Occidental,16993.0
2024,Ferdie,Negros Oriental,796.0
2024,Ferdie,Sarangani,0.0
2024,Ferdie,Sorsogon,36356.0
2024,Ferdie,Sultan Kudarat,24992.0
2024,Ferdie,Zamboanga del Norte,35.0
2024,Ferdie,Zamboanga del Sur,3805.0
