Year,Storm,Province,Damage to Infrastructure (PhP)
2020,Rolly,Albay,21.0
2020,Rolly,Apayao,0.0
2020,Rolly,Batangas,0.0
2020,Rolly,Benguet,0.0
2020,Rolly,Camarines Norte,0.0
2020,Rolly,Camarines Sur,5.0
2020,Rolly,Catanduanes,25.0
2020,Rolly,Cavite,0.0
2020,Rolly,Isabela,0.0
2020,Rolly,Kalinga,0.0
2020,Rolly,Laguna,0.0
2020,Rolly,Marinduque,66.0
2020,Rolly,Masbate,4797.0
2020,Rolly,Northern Samar,0.0
2020,Rolly,Nueva Ecija,0.0
2020,Rolly,Occidental Mindoro,0.0
2020,Rolly,Oriental Mindoro,2.0
2020,Rolly,Quezon,0.0
2020,Rolly,Sorsogon,0.0
