Year,Storm,Province,Affected
2020,Rolly,Albay,0.0
2020,Rolly,Apayao,440.0
2020,Rolly,Batangas,0.0
2020,Rolly,Benguet,11.0
2020,Rolly,Camarines Norte,38736.0
2020,Rolly,Camarines Sur,0.0
2020,Rolly,Catanduanes,0.0
2020,Rolly,Cavite,0.0
2020,Rolly,Isabela,146.0
2020,Rolly,Kalinga,8.0
2020,Rolly,Laguna,0.0
2020,Rolly,Marinduque,32343.0
2020,Rolly,Masbate,0.0
2020,Rolly,Northern Samar,200.0
2020,Rolly,Nueva Ecija,8453.0
2020,Rolly,Occidental Mindoro,0.0
2020,Rolly,Oriental Mindoro,0.0
2020,Rolly,Quezon,0.0
2020,Rolly,Sorsogon,0.0
